Course_number,Course_title,Units,Type,Time,Days,Instructor,Department,Rating_Class,Overall_Rating
BUAD-111,"World Bachelor in Business Program Freshman Academy","2.0 units",Lecture,10:00-11:50am,Friday,"Gerald Giaquinta",Business,good,3.9
BUAD-281,"Introduction to Managerial Accounting","3.0 units",Lecture,8:00-9:20am,"Tue, Thu","Chrislynn Freed",Accounting,good,4.1
BUAD-312g,"Statistics and Data Science for Business","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Jacob Bien","Applied Business Statistics",average,3.3
BUAD-312g,"Statistics and Data Science for Business","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Jacob Bien","Applied Business Statistics",average,3.3
BUAD-425,"Data Analysis for Decision Making","2.0 units",Lecture,10:00-11:50am,Monday,"Feng Chen",Business,average,3.3
BUAD-490,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Gerald Giaquinta",Business,good,3.9
BUCO-633,"Writing a Journal Article for Publication","2.0 units, max 4",Lecture,2:00-3:20pm,Wednesday,"Lee Cerling",Business,average,3.3
BUCO-636,"Communication for Doctoral Students: Tutorial","1.0 units, max 4",Lecture,TBA,Thursday,"Lee Cerling",Business,average,3.3
CE-334L,"Mechanical Behavior of Materials","4.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Bora Gencturk",Engineering,zero,N/A
CE-456,"Structural Design I","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Gregg Brandow",Engineering,good,5.0
CE-461,"Construction Estimating","4.0 units",Lecture,TBA,ThFS,"John Cowles",Engineering,zero,N/A
CHE-430,"Principles and Applications of Systems Biology","4.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Stacey Finley",Engineering,average,2.9
CHE-444bL,"Chemical Engineering Laboratory","2.0 units",Lecture,8:30-9:50am,Wednesday,"Jincai Chang",Engineering,zero,N/A
CHE-444cL,"Chemical Engineering Laboratory","2.0 units",Lecture,8:30-9:50am,Friday,"Jincai Chang",Engineering,zero,N/A
CHE-510,"Energy and Process Efficiency","3.0 units",Lecture,5:00-7:40pm,Tuesday,"Virgil Adumitroaie",Engineering,good,3.5
CHEM-107Lg,"General Chemistry for Chemistry Majors","4.0 units",Lecture,11:00-11:50am,MWF,"Alexander Benderskii",Chemistry,good,4.3
CHEM-107Lg,"General Chemistry for Chemistry Majors","4.0 units",Lecture,11:00-11:50am,MWF,"Alexander Benderskii",Chemistry,good,4.3
CHEM-107Lg,"General Chemistry for Chemistry Majors","4.0 units",Lecture,11:00-11:50am,MWF,"Alexander Benderskii",Chemistry,good,4.3
CHEM-250x,"Organic Chemistry Tutorial A","2.0 units",Lecture,3:30-4:50pm,Monday,"Rebecca Broyer",Chemistry,average,3.3
CHEM-322aL,"Organic Chemistry","4.0 units",Lecture,9:00-9:50am,MWF,"Thomas Bertolini",Chemistry,good,4.0
CHEM-330L,Biochemistry,"4.0 units",Lecture,12:00-12:50pm,MWF,"Christa Bancroft","Biological Sciences",good,4.4
CHEM-430,"Physical Chemistry: Thermodynamics and Kinetics","4.0 units",Lecture,11:00-11:50am,MWF,"Jahan Dawlaty",Chemistry,good,5.0
CLAS-410b,"Research in Classical Studies","2.0 units",Lecture,TBA,TBA,"Lucas Herchenroeder",Classics,average,3.0
CLAS-593x,"Practicum in Teaching Liberal Arts: Classics","2.0 units",Lecture,9:00-10:30am,Wednesday,"Christelle Fischer-Bovet",History,poor,2.4
COMM-495,"Honors Seminar","4.0 units, max 8",Lecture,9:00-11:50am,Wednesday,"Mike Ananny",Journalism,good,4.5
CRIT-350gw,"Global Art, Design and Visual Culture since 1960","4.0 units",Lecture-Discussion,12:00-1:50pm,"Mon, Wed","Andrew Campbell","Art History",good,4.4
CRIT-350gw,"Global Art, Design and Visual Culture since 1960","4.0 units",Lecture-Discussion,12:00-1:50pm,"Mon, Wed","Andrew Campbell","Art History",good,4.4
CRIT-350gw,"Global Art, Design and Visual Culture since 1960","4.0 units",Lecture-Discussion,12:00-1:50pm,"Mon, Wed","Andrew Campbell","Art History",good,4.4
CSCI-103L,"Introduction to Programming","4.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Andrew Goodney","Computer Science",good,3.6
CSCI-104L,"Data Structures and Object Oriented Design","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Sandra Batista","Computer Science",average,3.2
CSCI-170,"Discrete Methods in Computer Science","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Aaron Cote","Computer Science",good,4.2
CSCI-201,"Principles of Software Development","4.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Victor Adamchik","Computer Science",average,3.0
CSCI-270,"Introduction to Algorithms and Theory of Computing","4.0 units",Lecture,4:00-5:50pm,"Mon, Wed","Shaddin Dughmi","Computer Science",average,3.0
CSCI-310,"Software Engineering","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","William Halfond","Computer Science",poor,1.4
CSCI-445L,"Introduction to Robotics","4.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Heather Culbertson","Computer Science",zero,N/A
CSCI-458,"Numerical Methods","4.0 units",Lecture,12:00-12:50pm,MWF,"Cymra Haskell",Mathematics,poor,2.3
CSCI-485,"File and Database Management","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Shahram Ghandeharizadeh","Computer Science",average,2.9
CSCI-550,"Advanced Data Stores","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Shahram Ghandeharizadeh","Computer Science",average,2.9
CSCI-555L,"Advanced Operating Systems","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Ramesh Govindan","Computer Science",good,4.5
CSCI-556,"Introduction to Cryptography","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Ming-Deh Huang","Computer Science",good,3.9
CSCI-670,"Advanced Analysis of Algorithms","4.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Ming-Deh Huang","Computer Science",good,3.9
CSCI-698,"Practicum in Teaching Computer Science","1.0 units, max 2",Lecture,1:00-1:50pm,Monday,"Ellis Horowitz","Computer Science",good,3.8
CTAN-464L,"Digital Lighting and Rendering","2.0 units",Lecture-Lab,4:00-6:50pm,Monday,"Maurice Bastian",Cinema,good,4.0
CTAN-565L,"Motion Capture Performance","2.0 units",Lecture-Lab,7:00-9:50pm,Tuesday,"John Brennan",Cinema,zero,N/A
CTAN-577a,"Fundamentals of Animation","2.0 units",Lecture,7:00-9:50pm,Thursday,"Eric Goldberg",Cinema,good,5.0
CTCS-473,"Film and Media Theory","4.0 units",Lecture,10:00-1:50pm,Friday,"Priya Jaikumar",Film,good,4.3
CTIN-485,"Advanced Game Development","2.0 units, max 6",Lecture-Lab,6:00-8:50pm,Tuesday,"Sean Bouchard",Cinema,good,5.0
CTPR-424,"Practicum in Cinematography","2.0 units",Lecture,9:00-12:50pm,Wednesday,"Linda Brown",Cinema,zero,N/A
CTPR-480,"Advanced Production Workshop","4.0 units",Lecture,9:00-11:50am,Tuesday,"Brenda Goodman",Film,good,4.9
CTPR-506,"Visual Expression","2.0 units",Lecture,1:30-4:20pm,Monday,"Bruce Block",Film,good,3.8
CTPR-537,"Intermediate Cinematography","2.0 units",Lecture-Lab,1:00-4:50pm,Thursday,"Linda Brown",Cinema,zero,N/A
CTPR-582a,"Advanced Production Seminar","2.0 units",Lecture,TBA,TBA,"Brenda Goodman",Film,good,4.9
CTPR-585a,"Advanced Producing Project","2.0 units",Lecture,TBA,TBA,"Brenda Goodman",Film,good,4.9
CTWR-100g,"Story: Character, Conflict, and Catharsis","4.0 units",Lecture,10:00-11:20am,Thursday,"Janet Batchler",Cinema,good,4.3
CTWR-100g,"Story: Character, Conflict, and Catharsis","4.0 units",Lecture,10:00-11:20am,Thursday,"Janet Batchler",Cinema,good,4.3
CTWR-415a,"Advanced Writing","2.0 units",Lecture,4:00-6:50pm,Monday,"Alexa Alemanni",Cinema,zero,N/A
CTWR-519a,"Thesis in Television Drama","4.0 units",Lecture,1:00-3:50pm,Tuesday,"David Balkan",Cinema,good,5.0
DES-322,"Publication Design","4.0 units",Lecture,6:00-8:40pm,"Mon, Wed","Jason Ellenburg",Design,good,4.8
DES-402,"Advanced Design Projects","4.0 units, max 12",Lecture,12:00-2:40pm,"Tue, Thu","Jason Ellenburg",Design,good,4.8
DES-494b,"Senior Thesis","2.0 units",Lecture,TBA,Wednesday,"Jason Ellenburg",Design,good,4.8
DSO-424,"Business Forecasting","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Robertas Gabrys",Business,average,2.6
DSO-528,"Data Warehousing, Business Intelligence, and Data Mining","1.5-3.0 units",Lecture,11:00-1:50pm,Friday,"Arif Ansari",Engineering,good,3.5
DSO-580,"Project Management","3.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Murat Bayiz",Business,good,4.8
DSR-790,Research,"1.0-12.0 units",Lecture,TBA,TBA,"Gage Crump",Medicine,good,4.0
DSR-794a,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Gage Crump",Medicine,good,4.0
DSR-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Gage Crump",Medicine,good,4.0
DSR-794c,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Gage Crump",Medicine,good,4.0
DSR-794d,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Gage Crump",Medicine,good,4.0
DSR-794z,"Doctoral Dissertation","0.0 units",Lecture,TBA,TBA,"Gage Crump",Medicine,good,4.0
EALC-206,"Chinese IV","4.0 units",Lecture,12:00-12:50pm,MTuWTh,"John Chang","East Asian Languages",good,5.0
EALC-215,"Korean III","4.0 units",Lecture,10:00-10:50am,MTuWTh,"Hyunjung Ahn","East Asian Languages",good,5.0
EALC-220,"Japanese III","4.0 units",Lecture,9:00-9:50am,MTuWTh,"Maki Irie","East Asian Languages",good,4.4
EALC-320,"Advanced Japanese I","4.0 units",Lecture,1:00-1:50pm,MTuWTh,"Maki Irie","East Asian Languages",good,4.4
EALC-322,"Advanced Japanese II","4.0 units",Lecture,11:00-11:50am,MTuWTh,"Mayumi Ikeda","East Asian Languages",good,4.5
EALC-366,"Chinese Professional Internship: Communication and Culture","2.0 units, max 6",Lecture,6:00-7:50pm,Wednesday,"John Chang","East Asian Languages",good,5.0
EALC-404,"Advanced Modern Chinese III","4.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Xiang Jian","East Asian Languages",good,4.6
EALC-415,"Advanced Korean III","4.0 units",Lecture,3:30-4:50pm,"Tue, Thu","Hyunjung Ahn","East Asian Languages",good,5.0
EALC-494a,"Honors Thesis","4.0 units",Lecture,TBA,TBA,"Brian Bernards","East Asian Studies",good,4.2
EALC-593,"Teaching Practicum for East Asian Studies","2.0 units, max 4",Lecture,2:00-4:50pm,Friday,"Brian Bernards","East Asian Studies",good,4.2
ECON-303,"Intermediate Microeconomic Theory","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Daniel Bennett",Economics,poor,1.5
ECON-318,"Introduction to Econometrics","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Vittorio Bassi",Economics,good,5.0
ECON-351x,"Microeconomics for Business","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Seda Durguner",Economics,good,4.3
ECON-474,"Economic Consulting and Applied Managerial Economics","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Jeffrey Dubin",Economics,average,3.0
ECON-602,"Macroeconomic Theory I","4.0 units",Lecture,7:00-8:50am,"Tue, Thu","Caroline Betts",Economics,average,3.2
ECON-608,"Advanced Neuroeconomics","4.0 units",Lecture,2:00-5:20pm,Wednesday,"Giorgio Coricelli",Economics,poor,2.3
ECON-615,"Applied Econometrics","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Cheng Hsiao",Economics,poor,1.0
ECON-620aL,"Experimental Methods I","4.0 units",Lecture-Lab,1:00-4:20pm,Monday,"Isabelle Brocas",Economics,average,3.3
ECON-620aL,"Experimental Methods I","4.0 units",Lecture-Lab,1:00-4:20pm,Monday,"Isabelle Brocas",Business,zero,N/A
ECON-653,"Empirical International Economics","4.0 units",Lecture,2:00-5:20pm,Wednesday,"Robert Dekle",Economics,average,2.6
EDUC-523,"Challenges in Urban Education: Diversity","3.0 units",Lecture,7:00-9:30am,Saturday,"Eric Canny",Education,good,4.5
EDUC-670,"Introduction to Curriculum and Pedagogy in Urban Schools","4.0 units",Lecture,8:00-11:20am,Wednesday,"Marie Gironda",Education,poor,1.0
EDUC-671,"Contexts for Educational Equity, Access, and Agency","3.0 units",Lecture,7:00-9:30am,Tuesday,"Corinne Hyde",Education,good,4.8
EDUC-672,"Integrated Language Development Across the Curriculum","3.0 units",Lecture,7:00-9:30am,Thursday,"Stephanie Dewing",Education,good,5.0
EDUC-674,"Identifying and Teaching to Student Differences","3.0 units",Lecture,5:00-7:30pm,Tuesday,"Nasser Cortez",Education,good,5.0
EDUC-677,"Applications of Curriculum and Pedagogy, Part B","4.0 units, max 8",Lecture,4:30-7:00pm,Thursday,"Paula Carbone",Education,good,4.1
EDUC-678,"Applying Knowledge and Strategies for Teaching All Students","2.0 units",Lecture,4:30-6:30pm,Monday,"Karen Alejado",Education,good,5.0
EE-338,"Physical Electronics","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Stephen Cronin",Engineering,average,2.6
EE-364,"Introduction to Probability and Statistics for Electrical Engineering and Computer Science","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Brandon Franzke",Engineering,poor,2.4
EE-443,"Introduction to Power Systems","4.0 units",Lecture,6:00-9:40pm,Thursday,"Mohammed Beshir",Engineering,good,3.8
EE-444,"Power Systems Technology","4.0 units",Lecture,5:30-9:10pm,Monday,"Mohammed Beshir",Engineering,good,3.8
EE-445L,"Introduction to Robotics","4.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Heather Culbertson","Computer Science",zero,N/A
EE-471,"Applied Quantum Mechanics for Engineers","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Martin Gundersen",Engineering,average,2.5
EE-482,"Linear Control Systems","4.0 units",Lecture,6:00-9:20pm,Tuesday,"Fariba Ariaei",Engineering,poor,2.0
EE-483,"Introduction to Digital Signal Processing","4.0 units",Lecture,9:00-10:50am,"Tue, Thu","Justin Haldar",Engineering,good,5.0
EE-516,"High-Voltage DC Transmission Systems","4.0 units",Lecture,5:30-9:10pm,Wednesday,"Mohammed Beshir",Engineering,good,3.8
EE-536a,"Mixed-Signal Integrated Circuit Design","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Hossein Hashemi",Engineering,good,5.0
EE-564,"Digital Communication and Coding Systems","4.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Keith Chugg",Engineering,average,2.9
EE-593,"Robust Multivariable Control","4.0 units",Lecture,5:00-6:50pm,"Tue, Thu","Edmond Jonckheere",Engineering,good,4.4
EE-660,"Machine Learning from Signals: Foundations and Methods","3.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Keith Jenkins",Engineering,good,4.9
ENGL-405,"Fiction Writing","4.0 units, max 8",Lecture,6:00-8:20pm,Tuesday,"Aimee Bender","Arts & Letters",good,4.7
ENGL-406,"Poetry Writing","4.0 units, max 8",Lecture,4:30-6:50pm,Monday,"Mark Irwin","Arts & Letters",good,4.3
ENGL-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Lawrence Green",English,average,3.3
ENGL-593,"Practicum in Teaching English and Narrative Studies","2.0 units, max 8",Lecture,TBA,TBA,"Christopher Freeman","Arts & Letters",good,4.7
ENGR-400,"Engineering Honors Projects","1.0-3.0 units, max 12",Lecture,TBA,TBA,"Sandeep Gupta",Engineering,good,4.2
ENST-344,"Environmental Ethics","4.0 units",Lecture,10:00-10:50am,MWF,"Monalisa Chatterjee","Environmental Studies",average,2.8
ENST-413,"Sustainable Aquaculture and Food Security","4.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Scott Applebaum","Earth Science",good,4.2
FBE-403,"Introduction to the Legal Environment of Business","4.0 units",Lecture,6:00-7:50pm,"Mon, Wed","Kevin Fields",Business,good,4.5
FBE-427,"Real Estate Law","4.0 units",Lecture,4:00-5:50pm,"Mon, Wed","Kevin Fields",Business,good,4.5
FBE-437,"Entrepreneurial Finance: Financial Management for Developing Firms","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Duke Bristow",Finance,good,4.0
FBE-437,"Entrepreneurial Finance: Financial Management for Developing Firms","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Duke Bristow",Business,good,5.0
FBE-453a,"Advanced Practicum in Investment Management","4.0 units",Lecture,2:00-5:50pm,Wednesday,"Scott Abrams",Business,good,4.7
FBE-527,"Entrepreneurial Finance: Financial Management for Developing Firms","3.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Duke Bristow",Finance,good,4.0
FBE-527,"Entrepreneurial Finance: Financial Management for Developing Firms","3.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Duke Bristow",Business,good,5.0
FBE-532,"Corporate Financial Strategy","3.0 units",Lecture,9:30-10:50am,"Mon, Wed","Eric Briggs",Finance,good,4.5
FBE-553a,"Applied Portfolio Management","3.0 units",Lecture,2:00-4:50pm,Monday,"Scott Abrams",Business,good,4.7
FBE-571,"Introduction to Financial Analysis: Practicum","3.0 units",Lecture,9:00-11:50am,Saturday,"Jim Cunningham",Business,zero,N/A
FBE-593,"Independent Research in Finance or Business Economics","0.5-4.0 units, max 12",Lecture,TBA,TBA,"Scott Abrams",Business,good,4.7
FBE-595,"Internship in Finance or Business Economics","0.5-2.0 units, max 9",Lecture,TBA,TBA,"Duke Bristow",Finance,good,4.0
FBE-595,"Internship in Finance or Business Economics","0.5-2.0 units, max 9",Lecture,TBA,TBA,"Duke Bristow",Business,good,5.0
FREN-150,"French II","4.0 units",Lecture,8:00-8:50am,MTuWTh,"Jesus Garcia","French  Italian",good,4.9
FREN-235x,"Intermediate Conversational French","2.0 units",Lecture,1:00-1:50pm,"Mon, Wed","Julia Chamberlin",Languages,good,4.5
GEOL-450L,Geosystems,"4.0 units",Lecture,1:00-2:20pm,"Mon, Wed","Doug Hammond",Geology,average,2.9
GEOL-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"David Bottjer",Geology,average,2.5
GEOL-512,"Introduction to Chemical and Physical Oceanography","4.0 units",Lecture,10:00-11:50am,"Wed, Fri","Seth John","Earth Science",good,5.0
GERM-201,"German III, Conversation and Composition","4.0 units",Lecture,12:00-12:50pm,MTuWTh,"John Arensmeyer",Languages,good,4.8
GERM-221,"Conversational German IV","4.0 units",Lecture,11:00-11:50am,MTuWTh,"John Arensmeyer",Languages,good,4.8
GERM-310,"Business German I","4.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Britta Bothe","Slavic Languages amp Literatures",good,3.7
GERO-497a,"Honors Seminar","2.0 units",Lecture,TBA,TBA,"Caroline Cicero",Gerontology,good,5.0
GERO-497b,"Honors Seminar","2.0 units",Lecture,TBA,TBA,"Caroline Cicero",Gerontology,good,5.0
GERO-497c,"Honors Seminar","2.0-4.0 units",Lecture,TBA,TBA,"Caroline Cicero",Gerontology,good,5.0
GR-150,"Greek II","4.0 units",Lecture,11:00-11:50am,MTuWTh,"Lucas Herchenroeder",Classics,average,3.0
GSBA-524,"Data Science for Business","2.0-3.0 units",Lecture,2:00-4:30pm,"Tue, Thu","Arif Ansari",Engineering,good,3.5
GSBA-548,"Corporate Finance","2.0-3.0 units",Lecture,6:30-7:50pm,"Tue, Thu","Sena Durguner",Economics,good,4.4
HP-300,"Theoretical Principles of Health Behavior","4.0 units",Lecture,11:00-12:20pm,"Tue, Thu","David Black","Health Science",good,4.0
HP-300,"Theoretical Principles of Health Behavior","4.0 units",Lecture,11:00-12:20pm,"Tue, Thu","David Black",Medicine,zero,N/A
HP-320,"Biological and Behavioral Basis of Disease","4.0 units",Lecture,3:30-4:50pm,"Tue, Thu","Ashley Bennett",Medicine,good,4.5
IDSN-530,"Technology Essentials","3.0 units",Lecture,5:30-6:50pm,Tuesday,"Michael Crowley","Computer Science",good,4.1
IML-202,"Media Arts and Practice Studio I","4.0 units",Lecture-Lab,2:00-4:50pm,Thursday,"Evan Hughes","Information Media Literacy",good,4.3
ISE-220,"Probability Concepts in Engineering","3.0 units",Lecture,9:30-10:50am,"Tue, Thu","Hamid Chabok",Engineering,good,5.0
ISE-330,"Introduction to Operations Research: Deterministic Models","3.0 units",Lecture,2:00-3:20pm,"Mon, Wed","John Carlsson",Engineering,good,5.0
ISE-331,"Introduction to Operations Research: Stochastic Models","3.0 units",Lecture,12:30-1:50pm,"Mon, Wed","John Carlsson",Engineering,good,5.0
ISE-335L,"Supply Chain Design","3.0 units",Lecture,3:30-4:50pm,"Tue, Thu","Geza Bottlik",Engineering,poor,2.3
ISE-375L,"Facilities Design","3.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Shalini Gupta",Engineering,poor,2.4
ISE-410,"Planning and Scheduling","3.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Geza Bottlik",Engineering,poor,2.3
ISE-500,"Statistics for Engineering Managers","3.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Geza Bottlik",Engineering,poor,2.3
ISE-561,"Economic Analysis of Engineering Projects","3.0 units",Lecture,11:00-12:20pm,"Tue, Thu","Shalini Gupta",Engineering,poor,2.4
ISE-670,"Advanced Analysis of Algorithms","4.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Ming-Deh Huang","Computer Science",good,3.9
ITAL-150,"Italian II","4.0 units",Lecture,1:00-1:50pm,TuWThF,"Francesca Italiano",Languages,average,2.5
ITAL-175,"Accelerated Italian for Speakers of Spanish and Other Romance Languages","4.0 units",Lecture,4:00-5:50pm,"Tue, Thu","James Fortney","French & Italian",good,4.5
ITAL-220,"Italian III","4.0 units",Lecture,11:00-11:50am,MTuWTh,"Alessio Filippi",Languages,good,4.8
ITAL-220,"Italian III","4.0 units",Lecture,11:00-11:50am,MTuWTh,"Alessio Filippi","French amp Italian",zero,N/A
