Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room
ACAD-207,Multimedia for Designers and Entrepreneurs I,NA,4.0 units,Lecture,10233R,1,5:00-7:50pm,"Tue, Thu",19,10,0,Carsten Becker,IYH110 & ONLINE
ACAD-240,Materials: Denim to Nanotubes,NA,4.0 units,Lecture,10235D,1,3:00-5:00pm,"Mon, Wed",29,0,0,Adam Hughes,ONLINE
ACAD-245,Product Design I,P,4.0 units,Lecture,10232R,1,6:00-8:50pm,"Tue, Thu",24,15,0,Safir Bellali Lisa Krohn,IYH107/112 & ONLINE
ACAD-261,Human Health and Technology,NA,4.0 units,Lecture,10214R,1,12:00-2:00pm,"Mon, Wed",30,4,0,Armine Lulejian,IYH112 & ONLINE
ACAD-275,Dev I,NA,4.0 units,Lecture,10205R,1,5:00-7:50pm,"Tue, Thu",28,17,0,Patrick Dent,IYH210/211 & ONLINE
ACAD-276,Dev II,P,4.0 units,Lecture,10210D,1,2:00-4:50pm,"Tue, Thu",40,31,0,Patrick Dent,IYH210/211 & ONLINE
ACAD-301,Dynamics,P,3.0 units,Lecture,28725R,1,8:00-8:50am,MWF,40,8,0,Geoffrey Shiflett,SAL101 & ONLINE
ACAD-302,The Hacker Imagination: from Ancient Greece to Cupertino,NA,4.0 units,Lecture,10230D,60,10:00-11:50am,"Mon, Wed",40,34,0,Doug Thomas,ONLINE
ACAD-308,Computer-Aided Design for Bio-Mechanical Systems,NA,3.0 units,Lecture-Lab,31817D,60,5:00-7:50pm,Wednesday,19,16,0,Raymond Kim,ONLINE
ACAD-311,Design for User Experience,NA,4.0 units,Lecture,32029D,60,2:00-3:50pm,"Mon, Wed",40,13,0,Chris Swain,ONLINE
ACAD-312,Materials Behavior and Processing,NA,4.0 units,Lecture,32110D,60,2:00-3:50pm,"Tue, Thu",28,28,0,Lessa Grunenfelder,ONLINE
ACAD-315x,Basics of Project and Operations Management for Non-Majors,M,2.0 units,Lecture,14978R,431,4:00-5:50pm,"Tue, Thu",40,32,0,Cosimo Arnesano,ONLINE
ACAD-324g,The Practice of Design: Ideation to Innovation,NA,4.0 units,Lecture,10206R,1,5:00-7:20pm,"Tue, Thu",35,31,0,Leon Rodriguez,IYH212/213 & ONLINE
ACAD-324g,The Practice of Design: Ideation to Innovation,NA,4.0 units,Lecture,10206R,1,5:00-7:20pm,"Tue, Thu",35,31,0,Leon Rodriguez,IYH212/213 & ONLINE
ACAD-341,Android App Development,P,4.0 units,Lecture,32040D,60,6:00-7:50pm,"Mon, Wed",35,11,0,Bennett Lee,ONLINE
ACAD-342,iOS App Development,P,4.0 units,Lecture,31890D,60,12:00-1:50pm,"Mon, Wed",60,48,0,Trina Gregory,ONLINE
ACAD-362,Analytics for Health Innovators,NA,4.0 units,Lecture,10215R,60,6:00-7:50pm,"Mon, Wed",30,10,0,Michael Crowley,ONLINE
ACAD-365,Managing Data in C++,P,4.0 units,Lecture,32041D,60,2:00-3:50pm,"Tue, Thu",58,33,0,Nathan Greenfield,ONLINE
ACAD-366,Designing Media and Communication Projects for Social Change,NA,4.0 units,Lecture,20567D,60,11:00-12:20pm,"Tue, Thu",49,49,0,Alison Trope,ONLINE
ACAD-375,Business and Professional Communication,NA,4.0 units,Lecture,20577D,60,12:30-1:50pm,"Tue, Thu",18,15,0,Michael Wissot,ONLINE
ACAD-376,Discerning and Making I: Concept and Feasibility,PM,4.0 units,Lecture,10224D,1,3:00-5:00pm,"Mon, Wed",27,14,0,Grant Delgatty Lisa Krohn,IYH210/211 & ONLINE
ACAD-404,Advanced Front-End Web Development,P,4.0 units,Lecture,31835D,60,5:00-8:20pm,Tuesday,38,21,0,David Tang,ONLINE
ACAD-419,Professional Internship,NA,"2.0 units, max 8",Lecture,10217D,60,TBA,TBA,10,4,0,Patrick Dent,ONLINE
ACAD-425,Web Application Security,P,4.0 units,Lecture-Lab,32008D,60,5:00-8:50pm,Tuesday,30,23,0,Andy Portillo,ONLINE
ACAD-449,Applications of Machine Learning,P,4.0 units,Lecture-Lab,31829D,60,2:00-3:50pm,"Mon, Wed",70,44,0,Reza Jafarkhani,ONLINE
ACAD-475a,The Garage Experience,PMC,4.0-8.0 units,Lecture,10216D,1,12:00-2:50pm,"Mon, Wed",33,32,0,Phil More Stephen Child,IYH212/213 & ONLINE
ACAD-476,Technologies for Interactive Marketing,NA,4.0 units,Lecture-Lab,32072D,60,2:00-3:50pm,"Mon, Wed",40,31,0,P.J. Leimgruber,ONLINE
ACAD-490x,Directed Research,NA,"1.0-8.0 units, max 12",Lecture,10220D,60,TBA,TBA,20,2,0,Patrick Dent,ONLINE
ACAD-491,Individual Instruction,NA,"1.0-4.0 units, max 16",Lecture,10236D,1,TBA,TBA,1,1,0,Lisa Krohn,OFFICE
ACAD-499,Special Topics,NA,"1.0-8.0 units, max 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACCT-370,External Financial Reporting Issues,P,4.0 units,Lecture,14026D,60,10:00-11:50am,"Mon, Wed",46,43,0,Smrity Randhawa,ONLINE
ACCT-371,Introduction to Accounting Systems,P,4.0 units,Lecture,14041D,60,12:00-1:50pm,"Tue, Thu",46,43,0,Bob Kiddoo,ONLINE
ACCT-372,Internal Reporting Issues,P,2.0 units,Lecture,14050R,442,2:00-3:50pm,"Mon, Wed",40,39,0,Cecil Jackson,ONLINE
ACCT-373,Introduction to Auditing and Assurance Services,P,2.0 units,Lecture,14055D,431,8:00-9:50am,"Mon, Wed",40,31,0,Rose Layton,ONLINE
ACCT-374,Introduction to Tax Issues,P,2.0 units,Lecture,14060D,431,12:00-1:50pm,"Tue, Thu",42,29,0,Greg Kling,ONLINE
ACCT-377,Valuation for Financial Statement Purposes,P,2.0 units,Lecture,14065R,442,8:00-9:50am,"Mon, Wed",40,30,0,Tom Ryan,ONLINE
ACCT-380x,Introduction to Enterprise Risk Management,NA,4.0 units,Lecture,14010R,60,10:00-11:50am,"Tue, Thu",35,29,0,Kristen Jaconi,ONLINE
ACCT-385x,Introduction to Risk Management and Insurance,NA,4.0 units,Lecture,14012R,60,6:00-9:30pm,Monday,43,30,0,Ward Ching,ONLINE
ACCT-387x,"Risk Management in Entertainment, Sports and the Arts",NA,4.0 units,Lecture,14013R,60,2:00-3:50pm,"Tue, Thu",32,29,0,Kristen Jaconi,ONLINE
ACCT-410x,Foundations of Accounting,NA,4.0 units,Lecture,14090D,60,4:00-5:50pm,"Mon, Wed",57,54,0,Maria Ogneva,ONLINE
ACCT-416,Financial Reporting and Analysis,P,2.0 units,Lecture,14105D,431,10:00-11:50am,"Mon, Wed",40,26,0,Greg Kling,ONLINE
ACCT-462,Detecting Fraudulent Financial Reporting,P,2.0 units,Lecture,14183D,431,2:00-3:50pm,"Mon, Wed",51,51,0,Cecil Jackson,ONLINE
ACCT-470,Advanced External Financial Reporting Issues,P,4.0 units,Lecture,14120R,60,12:00-1:50pm,"Tue, Thu",50,48,0,Herbert Perlmutter,ONLINE
ACCT-473,Financial Statement Auditing,P,2.0 units,Lecture,14135R,442,10:00-11:50am,"Mon, Wed",40,27,0,Rose Layton,ONLINE
ACCT-474,Tax Issues for Business,P,2.0 units,Lecture,14140R,442,2:00-3:50pm,"Mon, Wed",45,22,0,Shiing-Wu Wang,ONLINE
ACCT-490x,Directed Research,NA,"1.0-8.0 units, max 12",Lecture,14180D,60,TBA,TBA,10,0,0,NA,ONLINE
ACCT-528,"Fair Value Accounting: GAAP, IFRS and Emerging Issues",MC,1.5 units,Lecture,14232D,431,2:00-3:20pm,"Tue, Thu",74,59,0,Tom Ryan,ONLINE
ACCT-529,Tax Data Analytics,MC,3.0 units,Lecture,14205R,60,8:00-9:20am,"Tue, Thu",53,51,0,Adam Uttley Shirley Maxey,ONLINE
ACCT-531t,Taxation of Cross-Border Transactions Using Data Analytics,MC,3.0 units,Lecture,14252D,60,3:30-4:50pm,"Mon, Wed",52,50,0,Charles Swenson Shiing-Wu Wang,ONLINE
ACCT-532,Financial Accounting for Mergers and Acquisitions,P,1.5 units,Lecture,14216D,442,2:00-3:20pm,"Mon, Wed",40,35,0,George Braunegg,ONLINE
ACCT-533,Mergers and Acquisitions: Tax Planning and Strategy,P,1.5 units,Lecture,14218D,431,2:00-3:20pm,"Mon, Wed",40,36,0,Shiing-Wu Wang,ONLINE
ACCT-541L,Auditing in the Enhanced Data Age,MC,3.0 units,Lecture,14228D,60,11:00-12:20pm,"Tue, Thu",45,35,0,John Owens,ONLINE
ACCT-548L,IT Audit and Data Applications,MC,3.0 units,Lecture,14236D,60,5:00-7:50pm,Wednesday,45,35,0,Thomas Phelps,ONLINE
ACCT-549,Advanced Enterprise Systems and Technologies,MC,3.0 units,Lecture,14241D,60,9:30-10:50am,"Mon, Wed",47,44,1,Daniel O'Leary,"ONLINE, ONLINE"
ACCT-550t,Tax Research and Professional Responsibilities,M,3.0 units,Lecture,14246R,378,5:30-7:00pm,Wednesday,30,23,0,Diane Comi,ONLINE
ACCT-551t,Taxation of Partnerships and S-Corps,M,3.0 units,Lecture,14244D,60,5:00-7:50pm,Monday,54,52,0,Michael Paranal,ONLINE
ACCT-554t,"Research, Theory and Ethics in Taxation",MC,3.0 units,Lecture,14253D,431,9:30-12:20pm,"Tue, Thu",53,51,0,Patricia Mills Jack Barcal,ONLINE
ACCT-559,Strategy and Operations Through CFO Lens,MC,3.0 units,Lecture,14260D,60,8:00-9:20am,"Tue, Thu",32,31,0,John Owens,ONLINE
ACCT-560t,Tax Theory and Ethics,MC,3.0 units,Lecture,14268R,378,5:30-7:00pm,Monday,35,29,0,Jack Barcal,ONLINE
ACCT-561t,Income Tax of Corporations and Their Shareholders,M,3.0 units,Lecture,14266D,442,9:30-12:20pm,"Tue, Thu",54,52,0,Gregory Kling,ONLINE
ACCT-567t,Taxation of Transactions in Property,PM,3.0 units,Lecture,14276R,378,5:30-7:00pm,Wednesday,30,15,0,Gregory Kling,ONLINE
ACCT-581,Financial Statement Analysis,PC,3.0 units,Lecture,14298D,60,11:00-12:20pm,"Mon, Wed",25,23,2,Tony Aaron,ONLINE
ACCT-583,Income Tax Accounting and Auditing,PC,3.0 units,Lecture,14305R,378,5:30-7:00pm,Tuesday,30,18,0,Paul Bader,ONLINE
ACCT-585,Professional Responsibilities in Accounting,MC,3.0 units,Lecture,14312D,60,8:00-9:20am,"Mon, Wed",35,31,1,Lori Smith,ONLINE
ACCT-595,Internship in Accounting,MC,"0.5-3.0 units, max 9",Lecture,14318D,60,TBA,TBA,20,2,0,Shirley Maxey,ONLINE
ACCT-611,Selected Topics in Accounting Research,C,"1.5 units, max 6",Lecture,14326R,71,8:30-9:50am,Friday,15,9,0,Clive Lennox,ONLINE
ACCT-615,Financial Reporting Research,MC,1.5 units,Lecture,14328R,442,3:00-5:50pm,Wednesday,5,4,0,Maria Ogneva,ONLINE
ACCT-621,Research Forum,MC,"1.0 units, max 4",Lecture,14327R,71,12:00-1:30pm,Friday,20,5,0,NA,ONLINE
ACCT-641,Debt Contracting and Banking Research,MC,1.5 units,Lecture,14329R,431,12:00-3:00pm,Thursday,8,7,0,Regina Wittenberg Moerman,ONLINE
ACCT-642,Research on Disclosure and Information Intermediaries,MC,1.5 units,Lecture,14330R,442,12:00-3:00pm,Thursday,5,5,0,Regina Wittenberg Moerman,ONLINE
ACMD-501,Introduction to Academic Medicine Worldwide,M,3.0 units,Lecture,40253R,98,5:00-8:00pm,Wednesday,30,16,0,Julie Nyquist Kathy Besinque,NA
ACMD-502,Becoming a Leader in Academic Medicine Worldwide,M,3.0 units,Lecture,40255R,98,5:00-8:00pm,Monday,30,11,0,Samuel Yanofsky Julie Nyquist,NA
ACMD-513,Professionalism in Academic Medicine and Health,M,3.0 units,Lecture,40263R,98,5:00-8:00pm,Tuesday,30,10,0,Julie Nyquist,NA
ACMD-591,Designing Research on Innovations in Academic Medicine,M,2.0 units,Lecture,40269R,98,5:00-7:00pm,Thursday,30,6,0,Cha-Chi Fung Jacob Schreiber Julie Nyquist,NA
ACMD-598,Fieldwork: Designing Innovations for the Health Professions,M,"1.0-3.0 units, max 3",Lecture,40279R,98,TBA,TBA,15,6,0,Julie Nyquist,OFFICE
ACMD-621,Capstone Portfolio for the Master of Academic Medicine,M,1.0 unit,Lecture,40282R,98,5:30-7:00pm,Thursday,15,3,0,Julie Nyquist,NA
ADNT-701,Research Methodologies in Dentistry,NA,2.0 units,Lecture,22608D,637,TBA,TBA,15,10,0,Amy Merrill-Brugger,OFFICE
ADNT-702,Physical Diagnosis,NA,"0.0-2.0 units, max 2",Lecture,22604D,715,TBA,TBA,40,3,0,Nam Cho,OFFICE
ADNT-703a,Seminar: Combined Treatment Planning,NA,"0.0-2.0 units, max 2",Lecture,22601D,369,TBA,TBA,10,4,0,Winston Chee Kian Kar,OFFICE
ADNT-703c,Seminar: Combined Treatment Planning,P,2.0 units,Lecture,22629D,10,TBA,TBA,10,5,0,Winston Chee,OFFICE
ADNT-703d,Seminar: Combined Treatment Planning,P,2.0 units,Lecture,22623D,370,TBA,TBA,10,4,0,Kian Kar Winston Chee,OFFICE
ADNT-703f,Seminar: Combined Treatment Planning,P,2.0 units,Lecture,22630D,30,TBA,TBA,10,6,0,Winston Chee,OFFICE
ADNT-703h,Seminar: Combined Treatment Planning,P,2.0 units,Lecture,22625D,394,TBA,TBA,10,4,0,Kian Kar Winston Chee,OFFICE
ADNT-704a,Oral Biology,NA,1.0-13.0 units,Lecture,22605D,715,TBA,TBA,10,3,0,Terry Tanaka,OFFICE
ADNT-704b,Oral Biology,P,1.0-13.0 units,Lecture,22603D,369,TBA,TBA,35,4,0,Terry Tanaka,OFFICE
ADNT-710,Internship: Dental Education,NA,"0.0-5.0 units, max 5",Lecture,22607D,318,TBA,TBA,10,7,0,Sillas Duarte,OFFICE
AEST-100a,Aerospace Studies I (Air Force Mission and Organization),NA,1.0 unit,Lecture,41710R,1,9:00-9:50am,Friday,24,13,0,Kaili Morikawa Reid Wynans Nathan Barnhart,SGM124 & ONLINE
AEST-110a,Leadership Laboratory I,NA,1.0 unit,Lecture,41795D,1,7:00-8:50am,Friday,60,17,0,Reid Wynans Nathan Barnhart Kaili Morikawa,SGM123 & ONLINE
AEST-200a,Aerospace Studies II (Air Force History),NA,1.0 unit,Lecture,41720R,1,10:00-10:50am,Friday,24,12,0,Reid Wynans Nathan Barnhart Kaili Morikawa,SGM123 & ONLINE
AEST-210a,Leadership Laboratory II,NA,1.0 unit,Lecture,41796D,1,7:00-8:50am,Friday,45,24,0,Reid Wynans Nathan Barnhart Kaili Morikawa,SGM124 & ONLINE
AEST-300a,Aerospace Studies III (Air Force Management and Leadership),NA,3.0 units,Lecture,41730R,1,9:00-11:50am,Friday,20,17,0,Reid Wynans Nathan Barnhart Kaili Morikawa,ZHS159 & ONLINE
AEST-310a,Leadership Laboratory III,NA,1.0 unit,Lecture,41797D,1,7:00-8:50am,Friday,30,10,0,Reid Wynans Nathan Barnhart Kaili Morikawa,SGM124 & ONLINE
AEST-400a,Aerospace Studies IV (National Security Forces in Contemporary American Society),NA,3.0 units,Lecture,41740R,1,9:00-11:50am,Friday,22,3,0,Reid Wynans Nathan Barnhart Kaili Morikawa,MRF340 & ONLINE
AEST-410a,Leadership Laboratory IV,NA,1.0 unit,Lecture,41798D,1,7:00-8:50am,Friday,30,4,0,Reid Wynans Nathan Barnhart Kaili Morikawa,SGM123 & ONLINE
AEST-420a,Leadership Laboratory V,NA,1.0 unit,Lecture-Lab,41751R,1,7:00-8:50am,Friday,10,2,0,Reid Wynans Nathan Barnhart Kaili Morikawa,NA
AHIS-120gp,Foundations of Western Art: Prehistoric to Renaissance,NA,4.0 units,Lecture,11805R,60,9:30-10:50am,"Tue, Thu",200,146,0,Hector Reyes,ONLINE
AHIS-120gp,Foundations of Western Art: Prehistoric to Renaissance,NA,4.0 units,Lecture,11805R,60,9:30-10:50am,"Tue, Thu",200,146,0,Hector Reyes,ONLINE
AHIS-120gp,Foundations of Western Art: Prehistoric to Renaissance,NA,4.0 units,Lecture,11805R,60,9:30-10:50am,"Tue, Thu",200,146,0,Hector Reyes,ONLINE
AHIS-120gp,Foundations of Western Art: Prehistoric to Renaissance,NA,4.0 units,Lecture,11805R,60,9:30-10:50am,"Tue, Thu",200,146,0,Hector Reyes,ONLINE
AHIS-120gp,Foundations of Western Art: Prehistoric to Renaissance,NA,4.0 units,Lecture,11805R,60,9:30-10:50am,"Tue, Thu",200,146,0,Hector Reyes,ONLINE
AHIS-125gp,Arts of Asia: Antiquity to 1300,NA,4.0 units,Lecture,11838R,60,11:00-12:20pm,"Tue, Thu",100,53,0,Sonya Lee,ONLINE
AHIS-125gp,Arts of Asia: Antiquity to 1300,NA,4.0 units,Lecture,11838R,60,11:00-12:20pm,"Tue, Thu",100,53,0,Sonya Lee,ONLINE
AHIS-125gp,Arts of Asia: Antiquity to 1300,NA,4.0 units,Lecture,11838R,60,11:00-12:20pm,"Tue, Thu",100,53,0,Sonya Lee,ONLINE
AHIS-125gp,Arts of Asia: Antiquity to 1300,NA,4.0 units,Lecture,11838R,60,11:00-12:20pm,"Tue, Thu",100,53,0,Sonya Lee,ONLINE
AHIS-125gp,Arts of Asia: Antiquity to 1300,NA,4.0 units,Lecture,11838R,60,11:00-12:20pm,"Tue, Thu",100,53,0,Sonya Lee,ONLINE
AHIS-201g,Digging into the Past,NA,4.0 units,Lecture,11868R,60,11:00-12:20pm,"Tue, Thu",50,48,0,John Pollini,ONLINE
AHIS-201g,Digging into the Past,NA,4.0 units,Lecture,11868R,60,11:00-12:20pm,"Tue, Thu",50,48,0,John Pollini,ONLINE
AHIS-201g,Digging into the Past,NA,4.0 units,Lecture,11868R,60,11:00-12:20pm,"Tue, Thu",50,48,0,John Pollini,ONLINE
AHIS-201g,Digging into the Past,NA,4.0 units,Lecture,11868R,60,11:00-12:20pm,"Tue, Thu",50,48,0,John Pollini,ONLINE
AHIS-215g,Studies in Architecture and Urbanism,NA,4.0 units,Lecture,11873R,60,9:30-10:50am,"Tue, Thu",19,16,0,Vittoria Di Palma,ONLINE
AHIS-215g,Studies in Architecture and Urbanism,NA,4.0 units,Lecture,11873R,60,9:30-10:50am,"Tue, Thu",19,16,0,Vittoria Di Palma,ONLINE
AHIS-215g,Studies in Architecture and Urbanism,NA,4.0 units,Lecture,11873R,60,9:30-10:50am,"Tue, Thu",19,16,0,Vittoria Di Palma,ONLINE
AHIS-220g,Medieval Visual Culture,NA,4.0 units,Lecture,11874R,60,9:30-10:50am,"Tue, Thu",30,16,0,Carolyn Malone,ONLINE
AHIS-220g,Medieval Visual Culture,NA,4.0 units,Lecture,11874R,60,9:30-10:50am,"Tue, Thu",30,16,0,Carolyn Malone,ONLINE
AHIS-220g,Medieval Visual Culture,NA,4.0 units,Lecture,11874R,60,9:30-10:50am,"Tue, Thu",30,16,0,Carolyn Malone,ONLINE
AHIS-220g,Medieval Visual Culture,NA,4.0 units,Lecture,11874R,60,9:30-10:50am,"Tue, Thu",30,16,0,Carolyn Malone,ONLINE
AHIS-270,L.A. Now: Contemporary Art in Los Angeles,NA,4.0 units,Lecture,11896R,60,2:00-4:50pm,Thursday,19,19,0,Suzanne Hudson,ONLINE
AHIS-304mg,"Art, Power and Identity in Renaissance Italy",NA,4.0 units,Lecture,11912R,60,12:30-1:50pm,"Tue, Thu",49,0,0,Lisa Pon,NA
AHIS-304mg,"Art, Power and Identity in Renaissance Italy",NA,4.0 units,Lecture,11912R,60,12:30-1:50pm,"Tue, Thu",49,0,0,Lisa Pon,NA
AHIS-304mg,"Art, Power and Identity in Renaissance Italy",NA,4.0 units,Lecture,11912R,60,12:30-1:50pm,"Tue, Thu",49,0,0,Lisa Pon,NA
AHIS-322,Roman Art and Archaeology,NA,4.0 units,Lecture,11924R,60,2:00-3:20pm,"Tue, Thu",19,18,0,John Pollini,ONLINE
AHIS-366g,"Picturing Democracy: American Art and Visual Culture, 1750-1900",NA,4.0 units,Lecture,11963R,60,2:00-3:20pm,"Tue, Thu",19,14,0,Kate Flint,ONLINE
AHIS-366g,"Picturing Democracy: American Art and Visual Culture, 1750-1900",NA,4.0 units,Lecture,11963R,60,2:00-3:20pm,"Tue, Thu",19,14,0,Kate Flint,ONLINE
AHIS-366g,"Picturing Democracy: American Art and Visual Culture, 1750-1900",NA,4.0 units,Lecture,11963R,60,2:00-3:20pm,"Tue, Thu",19,14,0,Kate Flint,ONLINE
AHIS-368,Modern Art I: 1700-1850,NA,4.0 units,Lecture,11966R,60,3:30-4:50pm,"Mon, Wed",19,14,0,Hector Reyes,ONLINE
AHIS-369,Modern Art II: 1851-1940,NA,4.0 units,Lecture,11967R,60,11:00-12:20pm,"Mon, Wed",16,11,0,Samantha Burton,ONLINE
AHIS-370g,Modern Art III: 1940 to the Present,NA,4.0 units,Lecture,11968R,60,11:00-12:20pm,"Tue, Thu",40,20,0,Ellen Macfarlane,ONLINE
AHIS-373g,History and Theory of Photography,NA,4.0 units,Lecture,11971R,60,12:30-1:50pm,"Mon, Wed",50,37,0,Megan Luke,ONLINE
AHIS-373g,History and Theory of Photography,NA,4.0 units,Lecture,11971R,60,12:30-1:50pm,"Mon, Wed",50,37,0,Megan Luke,ONLINE
AHIS-373g,History and Theory of Photography,NA,4.0 units,Lecture,11971R,60,12:30-1:50pm,"Mon, Wed",50,37,0,Megan Luke,ONLINE
AHIS-400x,Undergraduate Apprenticeship,MC,"2.0 units, max 4",Lecture,11988D,1,TBA,TBA,10,0,0,Hector Reyes,OFFICE
AHIS-466,Studies in the Decorative Arts and Design,NA,4.0 units,Lecture,12021D,60,2:00-4:50pm,Tuesday,10,4,0,Amy Ogata,ONLINE
AHIS-479,History in the Museum: The Past in Objects,NA,4.0 units,Lecture,37210D,60,2:00-4:50pm,Tuesday,15,8,0,Daniela Bleichmar,ONLINE
AHIS-481,Studies in Japanese Art,NA,"4.0 units, max 16",Lecture,12033D,60,2:00-4:50pm,Wednesday,19,16,0,Miya Mizuta,ONLINE
AHIS-486,"Introduction to Museums: Past, Present, and Future",C,4.0 units,Lecture,12039D,60,2:00-4:50pm,Monday,8,6,0,Selma Holo,ONLINE
AHIS-490x,Directed Research,NA,"1.0-8.0 units, max 12",Lecture,12041D,1,TBA,TBA,10,1,0,Hector Reyes,OFFICE
AHIS-494,Undergraduate Proseminar in Art History,NA,4.0 units,Lecture,12045D,60,2:00-4:50pm,Thursday,12,7,0,Samantha Burton,ONLINE
AHIS-495a,Undergraduate Honors Thesis,NA,2.0 units,Lecture,12047D,1,TBA,TBA,5,3,0,Hector Reyes,OFFICE
AHIS-495b,Undergraduate Honors Thesis,P,2.0 units,Lecture,12048D,1,TBA,TBA,5,0,0,Hector Reyes,OFFICE
AHIS-500,Methods and Theory of Art History,MC,4.0 units,Lecture,12055D,60,9:30-12:20pm,Thursday,10,5,0,Amy Knight Powell,ONLINE
AHIS-518,Seminar in Chinese Art,NA,"4.0 units, max 16",Lecture,12072D,60,2:00-4:50pm,Tuesday,10,4,0,Sonya Lee,ONLINE
AHIS-520,Seminar in Modern Art,NA,"4.0 units, max 16",Lecture,12074D,60,2:00-4:50pm,Monday,10,6,0,Megan Luke,ONLINE
AHIS-590,Directed Research,NA,1.0-12.0 units,Lecture,12101D,1,TBA,TBA,4,2,0,Kate Flint,OFFICE
AHIS-593x,Practicum in Teaching the Liberal Arts,MC,2.0 units,Lecture,12105D,60,2:00-3:20pm,Thursday,6,3,0,Ann Marie Yasin,ONLINE
AHIS-596,Seminar on Advanced Writing and Professionalization in Art H,MC,2.0 units,Lecture,12110D,60,3:30-4:50pm,Thursday,10,2,0,Ann Marie Yasin,ONLINE
AHIS-790,Research,NA,1.0-12.0 units,Lecture,12180D,1,TBA,TBA,10,1,0,Kate Flint,OFFICE
AHIS-794a,Doctoral Dissertation,C,2.0 units,Lecture,12190D,60,TBA,TBA,10,2,0,Kate Flint,ONLINE
AHIS-794b,Doctoral Dissertation,PC,2.0 units,Lecture,12191D,60,TBA,TBA,10,0,0,Kate Flint,ONLINE
AHIS-794c,Doctoral Dissertation,PC,2.0 units,Lecture,12192D,60,TBA,TBA,15,3,0,Kate Flint,ONLINE
AHIS-794d,Doctoral Dissertation,PC,2.0 units,Lecture,12193D,60,TBA,TBA,10,0,0,Kate Flint,ONLINE
AHIS-794z,Doctoral Dissertation,PC,0.0 units,Lecture,12194D,60,TBA,TBA,10,7,0,Kate Flint,ONLINE
ALI-224,Academic and Professional Speaking Skills I,NA,"2.0 units, max 6",Lecture,10101R,60,2:00-3:20pm,"Mon, Wed",14,10,0,Kimberley Briesch Sumner,ONLINE
ALI-225,Academic and Professional Writing Skills I,NA,"2.0 units, max 6",Lecture,10105R,60,4:00-5:20pm,"Tue, Thu",14,12,0,Kimberley Briesch Sumner,ONLINE
ALI-234,Academic and Professional Speaking Skills II,NA,"2.0 units, max 6",Lecture,10111R,60,9:30-10:50am,"Tue, Thu",10,10,0,Barry Griner,ONLINE
ALI-235,Academic and Professional Writing Skills II,NA,"2.0 units, max 6",Lecture,10123R,60,8:00-9:20am,"Tue, Thu",12,12,0,Nina Kang,ONLINE
ALI-242,High Intermediate Pronunciation,NA,2.0 units,Lecture,10133R,60,9:30-10:50am,"Mon, Wed",10,3,0,Barry Griner,ONLINE
ALI-244,Academic and Professional Speaking Skills III,NA,"2.0 units, max 6",Lecture,10137R,60,11:00-12:20pm,"Tue, Thu",12,12,0,Olivia Martinez,ONLINE
ALI-245,Academic and Professional Writing III,NA,"2.0 units, max 6",Lecture,10144R,60,8:30-9:50am,"Mon, Wed",11,10,0,Richard Jones,ONLINE
