Course number,Course title,Registration restrictions,Units,Type,Section,Session,Time,Days,Seats,Registered,Waitlist,Instructor,Room
ACCT-585,Professional Responsibilities in Accounting,MC,3.0 units,Lecture,14312D,60,8:00-9:20am,"Mon, Wed",35,31,1,Lori Smith,ONLINE
ACCT-595,Internship in Accounting,MC,"0.5-3.0 units, max 9",Lecture,14318D,60,TBA,TBA,20,2,0,Shirley Maxey,ONLINE
ACCT-611,Selected Topics in Accounting Research,C,"1.5 units, max 6",Lecture,14326R,71,8:30-9:50am,Friday,15,9,0,Clive Lennox,ONLINE
ACCT-615,Financial Reporting Research,MC,1.5 units,Lecture,14328R,442,3:00-5:50pm,Wednesday,5,4,0,Maria Ogneva,ONLINE
ACCT-641,Debt Contracting and Banking Research,MC,1.5 units,Lecture,14329R,431,12:00-3:00pm,Thursday,8,7,0,Regina Wittenberg Moerman,ONLINE
ACCT-642,Research on Disclosure and Information Intermediaries,MC,1.5 units,Lecture,14330R,442,12:00-3:00pm,Thursday,5,5,0,Regina Wittenberg Moerman,ONLINE
ACMD-598,Fieldwork: Designing Innovations for the Health Professions,M,"1.0-3.0 units, max 3",Lecture,40279R,98,TBA,TBA,15,6,0,Julie Nyquist,OFFICE
ADNT-703c,Seminar: Combined Treatment Planning,P,2.0 units,Lecture,22629D,10,TBA,TBA,10,5,0,Winston Chee,OFFICE
ADNT-703d,Seminar: Combined Treatment Planning,P,2.0 units,Lecture,22623D,370,TBA,TBA,10,4,0,Kian Kar Winston Chee,OFFICE
ADNT-703f,Seminar: Combined Treatment Planning,P,2.0 units,Lecture,22630D,30,TBA,TBA,10,6,0,Winston Chee,OFFICE
ADNT-703h,Seminar: Combined Treatment Planning,P,2.0 units,Lecture,22625D,394,TBA,TBA,10,4,0,Kian Kar Winston Chee,OFFICE
ADNT-704b,Oral Biology,P,1.0-13.0 units,Lecture,22603D,369,TBA,TBA,35,4,0,Terry Tanaka,OFFICE
AHIS-400x,Undergraduate Apprenticeship,MC,"2.0 units, max 4",Lecture,11988D,1,TBA,TBA,10,0,0,Hector Reyes,OFFICE
AHIS-486,"Introduction to Museums: Past, Present, and Future",C,4.0 units,Lecture,12039D,60,2:00-4:50pm,Monday,8,6,0,Selma Holo,ONLINE
AHIS-495b,Undergraduate Honors Thesis,P,2.0 units,Lecture,12048D,1,TBA,TBA,5,0,0,Hector Reyes,OFFICE
AHIS-500,Methods and Theory of Art History,MC,4.0 units,Lecture,12055D,60,9:30-12:20pm,Thursday,10,5,0,Amy Knight Powell,ONLINE
AHIS-593x,Practicum in Teaching the Liberal Arts,MC,2.0 units,Lecture,12105D,60,2:00-3:20pm,Thursday,6,3,0,Ann Marie Yasin,ONLINE
AHIS-596,Seminar on Advanced Writing and Professionalization in Art H,MC,2.0 units,Lecture,12110D,60,3:30-4:50pm,Thursday,10,2,0,Ann Marie Yasin,ONLINE
AHIS-794a,Doctoral Dissertation,C,2.0 units,Lecture,12190D,60,TBA,TBA,10,2,0,Kate Flint,ONLINE
AHIS-794b,Doctoral Dissertation,PC,2.0 units,Lecture,12191D,60,TBA,TBA,10,0,0,Kate Flint,ONLINE
AHIS-794c,Doctoral Dissertation,PC,2.0 units,Lecture,12192D,60,TBA,TBA,15,3,0,Kate Flint,ONLINE
AHIS-794d,Doctoral Dissertation,PC,2.0 units,Lecture,12193D,60,TBA,TBA,10,0,0,Kate Flint,ONLINE
AHIS-794z,Doctoral Dissertation,PC,0.0 units,Lecture,12194D,60,TBA,TBA,10,7,0,Kate Flint,ONLINE
AME-201,Statics,P,3.0 units,Lecture,28717R,60,12:30-1:50pm,"Tue, Thu",64,57,0,Oussama Safadi,ONLINE
AME-204,Strength of Materials,P,3.0 units,Lecture,28719D,1,2:00-3:20pm,"Mon, Wed",15,15,0,Oussama Safadi,SGM123 & ONLINE
AME-301,Dynamics,P,3.0 units,Lecture,28725R,1,8:00-8:50am,MWF,40,8,0,Geoffrey Shiflett,SAL101 & ONLINE
AME-302,Dynamic Systems,P,3.0 units,Lecture,28728R,60,2:00-3:20pm,"Mon, Wed",40,34,0,Inna Abramova,ONLINE
AME-305,Mechanical Design,P,3.0 units,Lecture,28730D,1,2:00-3:20pm,"Tue, Thu",15,22,0,Oussama Safadi,SGM123 & ONLINE
AME-309,Dynamics of Fluids,P,4.0 units,Lecture,28736R,60,10:00-11:50am,"Tue, Thu",73,71,0,Ivan Bermejo-Moreno,ONLINE
AME-310,Engineering Thermodynamics I,P,3.0 units,Lecture,28738R,60,10:00-11:50am,"Mon, Wed",73,68,0,Anita Penkova,ONLINE
AME-331,Heat Transfer,P,3.0 units,Lecture,28735D,1,1:00-3:50pm,Friday,22,22,0,Leslie King,MHP101 & ONLINE
AME-341a,Mechoptronics Laboratory I and II,P,3.0 units,Lecture,28741R,60,8:00-8:50am,MWF,87,86,0,Charles Radovich Akshay Potnuru,ONLINE
AME-410,Engineering Design Theory and Methodology,C,3.0 units,Lecture,28762R,60,6:30-9:10pm,Wednesday,51,47,0,James Humann,ONLINE
AME-415,Turbine Design and Analysis,M,3.0 units,Lecture,28765D,1,5:00-7:40pm,Thursday,18,16,0,Bogdan Marcu,SLH200 & ONLINE
AME-430,Thermal Systems Design,P,3.0 units,Lecture,28772D,1,7:00-9:40pm,Monday,20,18,0,Zuhair Ibrahim,RTH105 & ONLINE
AME-441aL,Senior Projects Laboratory,P,3.0 units,Lecture,28774R,1,12:00-1:50pm,Monday,25,28,0,Matthew Gilpin Yann Staelens,WPH B28 & ONLINE
AME-451,Linear Control Systems I,P,3.0 units,Lecture,28788R,60,5:00-6:20pm,"Mon, Wed",30,23,0,Henryk Flashner,ONLINE
AME-459,Flight Mechanics,C,3.0 units,Lecture,28829R,60,4:00-6:50pm,Thursday,30,23,0,Kamal Shweyk,ONLINE
AME-463L,Introduction to Transport Processes in Porous Media,P,4.0 units,Lecture,32208D,1,3:30-6:10pm,Wednesday,28,6,0,Kristian Jessen,TBA & ONLINE
AME-485,Aerospace Structures I,P,3.0 units,Lecture,28801R,60,5:15-7:25pm,Wednesday,28,26,0,Vinay Goyal,ONLINE
AME-490x,Directed Research,C,"1.0-8.0 units, max 12",Lecture,28789D,60,TBA,TBA,30,0,0,Paul Ronney,ONLINE
AME-502,Modern Topics in Aerospace Design,MC,3.0 units,Lecture,28860R,73,1:00-3:00pm,Friday,15,7,0,Jayanth Kudva,ONLINE
AME-509,Applied Elasticity,P,4.0 units,Lecture,28793R,73,1:30-3:20pm,"Tue, Thu",20,12,0,Paul Plucinsky,ONLINE
AME-521,Engineering Vibrations II,P,4.0 units,Lecture,28881R,73,5:00-6:50pm,"Mon, Wed",40,3,0,Bingen Yang,ONLINE
AME-527,Elements of Vehicle and Energy Systems Design,C,3.0 units,Lecture,28891R,73,6:40-9:20pm,Wednesday,42,6,0,David Lazzara,ONLINE
AME-541,Linear Control Systems II,P,4.0 units,Lecture,28805R,73,5:00-6:50pm,"Tue, Thu",30,13,0,Nestor Perez Arancibia,ONLINE
AME-550,Seminar in Aerospace and Mechanical Engineering,MC,"1.0 units, max 3",Lecture,28807R,73,3:30-4:50pm,Wednesday,30,14,0,Niema Pahlevan,ONLINE
AME-594a,Master's Thesis,C,2.0 units,Lecture,28809D,73,TBA,TBA,25,1,0,Paul Ronney,ONLINE
AME-594b,Master's Thesis,PC,2.0 units,Lecture,28810D,73,TBA,TBA,10,0,0,Paul Ronney,ONLINE
AME-594z,Master's Thesis,PC,0.0 units,Lecture,28811D,73,TBA,TBA,10,0,0,Paul Ronney,ONLINE
AME-794a,Doctoral Dissertation,C,2.0 units,Lecture,28813D,73,TBA,TBA,15,0,0,Paul Ronney,ONLINE
AME-794b,Doctoral Dissertation,PC,2.0 units,Lecture,28814D,73,TBA,TBA,15,0,0,Paul Ronney,ONLINE
AME-794c,Doctoral Dissertation,PC,2.0 units,Lecture,28815D,73,TBA,TBA,15,0,0,Paul Ronney,ONLINE
AME-794d,Doctoral Dissertation,PC,2.0 units,Lecture,28816D,73,TBA,TBA,15,0,0,Paul Ronney,ONLINE
AME-794z,Doctoral Dissertation,PC,0.0 units,Lecture,28817D,73,TBA,TBA,15,0,0,Paul Ronney,ONLINE
AMST-500,Introduction to American Studies and Ethnicity,MC,4.0 units,Lecture,10450D,60,5:00-7:30pm,Monday,12,7,0,John Rowe,ONLINE
ANST-506,Advanced Principles of Nurse Anesthesia Practice,PM,4.0 units,Lecture,40306R,46,8:00-1:00pm,Tuesday,21,20,0,Teresa Norris,CHP224 & ONLINE
ANST-603,Anatomy and Advanced Health Assessment,M,4.0 units,Lecture,40324R,46,8:00-12:00pm,Thursday,20,0,0,Michele Gold Elizabeth Bamgbose Nilu Patel,ONLINE
ANST-610,Advanced Physiology for Nurse Anesthesia Practice,M,4.0 units,Lecture,40345R,46,12:00-5:00pm,Wednesday,20,0,0,Elizabeth Bamgbose Mary Karlet Paula Belson,ONLINE
ANST-611,Leadership and Collaborative Practice,M,3.0 units,Lecture,40327R,46,7:30-11:50am,Monday,21,20,0,Jeffrey Darna,MCH156 & ONLINE
ANST-615,Clinical Residency in Nurse Anesthesia II,PM,2.0 units,Lecture-Lab,40330R,46,TBA,TBA,21,0,0,Elizabeth Bamgbose Jeffrey Darna Erica McCall Jennifer Hogan,TBA
ANST-616,Advanced Clinical Residency in Nurse Anesthesia I,PM,2.0 units,Lecture-Lab,40331R,46,TBA,TBA,2,0,0,Elizabeth Bamgbose,TBA
ANST-617,Advanced Clinical Residency in Nurse Anesthesia II,PM,2.0 units,Lecture-Lab,40332R,46,TBA,TBA,2,0,0,Elizabeth Bamgbose,TBA
ANST-618,Advanced Clinical Residency in Nurse Anesthesia III,PM,2.0 units,Lecture-Lab,40333R,46,TBA,TBA,21,0,0,Elizabeth Bamgbose Jeffrey Darna Erica McCall Jennifer Hogan,TBA
ANST-621b,Clinical Synthesis II,PM,1.0 unit,Lecture,40338R,46,12:30-4:00pm,Monday,21,20,0,Jeffrey Darna,MCH256 & ONLINE
ANST-631,Clinical Synthesis I,M,2.0 units,Lecture,40349R,46,12:30-4:30pm,Monday,20,20,0,Elizabeth Bamgbose Tahira Smith-Aifesehi Regalado Valerio,CHP233A
ANST-694a,Doctoral Capstone Project,PM,2.0 units,Lecture,40340R,46,12:00-4:00pm,Friday,20,0,0,Elizabeth Bamgbose,ONLINE
ANST-694b,Doctoral Capstone Project,PMC,1.0 unit,Lecture,40341R,46,12:00-4:00pm,Friday,21,0,0,Elizabeth Bamgbose,ONLINE
ANST-694c,Doctoral Capstone Project,PMC,1.0 unit,Lecture,40342R,46,12:00-4:00pm,Friday,20,0,0,Elizabeth Bamgbose,ONLINE
ANTH-405,Evolutionary Medicine,P,4.0 units,Lecture,38533R,60,12:30-1:50pm,"Tue, Thu",40,32,0,Gioia Polidori,ONLINE
ANTH-410a,Ethnographic Field Methods and Practicum,P,4.0 units,Lecture,10633D,60,4:00-6:50pm,Tuesday,19,11,0,Reighan Gillam,ONLINE
ANTH-490x,Directed Research,C,"1.0-8.0 units, max 12",Lecture,10640D,1,TBA,TBA,10,3,0,Peter Redfield,OFFICE
ANTH-491,Directed Research for Honors,P,4.0 units,Lecture,10641D,1,TBA,TBA,10,0,0,Peter Redfield,OFFICE
ANTH-502,Contemporary Theory in Anthropology,C,4.0 units,Lecture,10652R,60,2:00-4:50pm,Thursday,15,10,0,Janet Hoskins,ONLINE
ARAB-152,Arabic II,P,4.0 units,Lecture,41514R,60,2:00-2:50pm,MTuWTh,19,4,0,Sozan Wali,ONLINE
ARAB-222,Arabic III,P,4.0 units,Lecture,41524R,60,10:00-10:50am,MTuWTh,19,9,0,Sozan Wali,ONLINE
ARAB-322,Advanced Arabic I,P,4.0 units,Lecture,41536R,60,2:00-3:50pm,"Tue, Thu",10,7,0,Muhammad AlKhudair,ONLINE
ARAB-334,Media Arabic,P,4.0 units,Lecture,41530R,60,11:00-11:50am,MTuWTh,10,4,0,Sozan Wali,ONLINE
ARCH-202aL,Architectural Design II,P,6.0 units,Lecture-Lab,11204D,60,1:00-5:50pm,"Mon, Fri",86,81,0,Scott Uriu,ONLINE
ARCH-205aL,Building Science I,P,4.0 units,Lecture-Lab,11205D,1,1:00-3:50pm,"Mon, Wed",12,9,0,Mina Chow,WAH B12 & ONLINE
ARCH-214bg,World History of Architecture,P,3.0 units,Lecture,11214D,60,4:30-5:50pm,"Tue, Thu",100,82,0,Susanna Seierup,ONLINE
ARCH-214bg,World History of Architecture,P,3.0 units,Lecture,11214D,60,4:30-5:50pm,"Tue, Thu",100,82,0,Susanna Seierup,ONLINE
ARCH-302aL,Architectural Design III,P,6.0 units,Lecture-Lab,11218D,60,1:00-5:50pm,"Mon, Fri",75,71,0,Sascha Delz,ONLINE
ARCH-305aL,Building Science II,P,4.0 units,Lecture-Lab,11220D,60,4:00-5:50pm,"Mon, Wed",11,11,0,David Gerber,ONLINE
ARCH-313,Design of Building Structures,P,3.0 units,Lecture,11224D,60,11:00-12:20pm,"Tue, Thu",110,77,0,Jeff Guh,ONLINE
ARCH-314,History of Architecture: Contemporary Issues,P,3.0 units,Lecture,11225D,60,10:00-11:50am,"Mon, Wed",90,81,0,Ginger Nolan,ONLINE
ARCH-402aL,Architectural Design IV,P,6.0 units,Lecture-Lab,11234D,60,1:00-5:50pm,"Mon, Fri",69,68,0,Jennifer Siegal,ONLINE
ARCH-403,Principles of Spatial Design II,P,4.0 units,Lecture,11403D,60,9:00-12:20pm,Tuesday,18,17,0,Takako Tajima,ONLINE
ARCH-405aL,Building Science III,P,4.0 units,Lecture-Lab,11241D,60,9:00-10:50am,"Tue, Thu",7,7,0,Tigran Ayrapetyan,ONLINE
ARCH-414,Perspectives in History and Theory in Architecture,P,"2.0 units, max 6",Lecture,11313R,60,10:00-11:50am,Monday,16,15,0,Faiza Moatasim,ONLINE
ARCH-420,Visual Communication and Graphic Expression,C,3.0 units,Lecture-Lab,11583R,60,9:00-11:50am,Wednesday,18,16,0,Gary Paige,ONLINE
ARCH-423,"Light, Color and the Character of Material",C,2.0 units,Lecture,11378R,1,11:00-12:50pm,Wednesday,16,9,0,Valery Augustin,WAH B1
ARCH-439,Landscape Architecture Foundations Workshop,MC,2.0 units,Lecture-Lab,11589D,430,TBA,TBA,15,15,0,Takako Tajima,OFFICE & ONLINE
ARCH-470a,Architectural Studies Capstone,MC,1.0 unit,Lecture,11524D,263,2:00-3:50pm,Monday,8,8,0,Lauren Matchison,ONLINE
ARCH-490x,Directed Research,C,"1.0-8.0 units, max 12",Lecture,11268D,263,TBA,TBA,1,1,0,Doris Sung,ONLINE
ARCH-500aL,Comprehensive Architectural Design,P,6.0 units,Lecture-Lab,11238D,60,1:00-5:50pm,"Mon, Fri",60,60,0,Roland Wahlroos-Ritter,ONLINE
ARCH-501,Critical Topics in Architecture,P,2.0 units,Lecture-Lab,11207D,60,11:00-12:50pm,Friday,60,60,0,Eric Haas,ONLINE
ARCH-505aL,Graduate Architecture Design I,M,6.0 units,Lecture-Lab,11529D,850,1:00-5:50pm,"Mon, Wed",30,28,0,Eric Haas,WAH209 & ONLINE
ARCH-522,Healthcare Design,C,2.0 units,Lecture,11538D,850,6:30-8:30pm,Wednesday,29,27,0,Victor Regnier,ONLINE
ARCH-523bL,Structural Design and Analysis,P,3.0 units,Lecture-Lab,11539D,850,9:30-10:50am,"Tue, Thu",46,32,0,Santosh Shahi,ONLINE
ARCH-524,Professional Practicum,MC,"1.0 units, max 2",Lecture,11287D,263,TBA,TBA,1,1,0,Charles Lagreco,ONLINE
ARCH-526,"Professional Practice: Legal and Economic Context, Project Documentation",P,3.0 units,Lecture,11541D,850,9:00-12:50pm,Friday,93,87,0,John Southern Karen Kensek,ONLINE
ARCH-538L,Planting Design,P,2.0 units,Lecture-Lab,11545D,850,12:30-2:20pm,Tuesday,16,11,0,Esther Margulies,WAH B1 & ONLINE
ARCH-539L,Media for Landscape Architecture,M,3.0 units,Lecture-Lab,11546D,850,10:00-12:50pm,Tuesday,9,9,0,Aroussiak Gabrielian,WAH368 & ONLINE
ARCH-542aL,Landscape Architecture Design,P,6.0 units,Lecture-Lab,11548D,850,1:00-5:50pm,"Mon, Fri",15,15,0,Jessica Henson,WAH368 & ONLINE
ARCH-556,Readings in Heritage Conservation Theory,P,2.0 units,Lecture,11555D,850,6:00-7:50pm,Monday,12,10,0,Trudi Sandmeier,HAR102 & ONLINE
ARCH-585,Visual Storytelling and Entrepreneurship in Media,C,2.0 units,Lecture,11567D,850,12:30-2:20pm,Tuesday,20,14,0,Lee Schneider,ONLINE
ARCH-588,Interactive Architecture: Computing and the Physical World,C,3.0 units,Lecture-Lab,11568R,850,9:00-11:50am,Tuesday,23,15,0,Kyle Konis,WAH B1
ARCH-619,Digital Fabrication - Materials and Methods of Production,C,3.0 units,Lecture,11572R,850,1:00-3:50pm,Tuesday,16,15,0,Robert Ley,OFFICE & ONLINE
ARCH-639,Media for Landscape Architecture: Dynamic Systems,P,2.0 units,Lecture-Lab,11573D,850,10:00-11:50am,Thursday,12,9,0,Alexander Robinson,ONLINE
ARCH-642L,Landscape Architecture Design,P,6.0 units,Lecture-Lab,11585D,850,1:00-5:50pm,"Mon, Wed",13,12,0,Jen Toy,WAH368 & ONLINE
ARCH-691b,Heritage Conservation Thesis Preparation and Thesis,PMC,4.0 units,Lecture,11586D,850,9:00-12:20pm,Monday,1,1,0,Trudi Sandmeier,ONLINE
ARCH-691z,Heritage Conservation Thesis Preparation and Thesis,PM,0.0 units,Lecture,11587D,850,TBA,TBA,15,9,0,Trudi Sandmeier,ONLINE
ARCH-692zL,Building Science Thesis,PC,0.0 units,Lecture-Lab,11509D,850,TBA,TBA,1,1,0,Marc Schiler,OFFICE
ARCH-698a,Advanced Design-Research,MC,3.0 units,Lecture,11578D,850,9:00-11:50am,Monday,15,14,0,Jerome Chou,HAR115A & ONLINE
ARCH-705L,Advanced Graduate Architecture Design- Topics,PM,"6.0 units, max 12",Lecture-Lab,11579D,850,1:00-5:50pm,MWF,99,91,0,Robert Ley,WAH372 & ONLINE
ARCH-793aL,Architecture Directed Design Research Option I,PM,2.0 units,Lecture-Lab,11580D,850,10:00-11:50am,Monday,99,94,0,Lisa Little,ONLINE
ART-280,Studio Critique I,MC,2.0 units,Lecture,33800D,1,12:00-2:40pm,Monday,16,7,0,Jean Robison,WAH102B & ONLINE
ART-310,Drawing II,P,4.0 units,Lecture,33850D,1,9:00-11:40am,"Mon, Wed",18,8,0,Marisa Mandler,WAH102A & ONLINE
ART-320,Painting II,P,4.0 units,Lecture,33883D,1,6:00-8:40pm,"Tue, Thu",15,6,0,Robert Alderette,HAR203 & ONLINE
ART-330,Ceramics II,P,4.0 units,Lecture,33366D,1,3:00-5:40pm,"Mon, Wed",16,2,0,Julia Haft-Candell,WAH107 & ONLINE
ART-350,"Intermediate Photography: Studio, Field, Independent Project",P,4.0 units,Lecture,33875D,1,3:00-5:40pm,"Tue, Thu",16,8,0,Julia Paull,IFT141 & ONLINE
ART-380,Studio Critique II,PMC,2.0 units,Lecture,33803D,1,9:00-11:40am,Thursday,16,15,0,Jud Fine,WAH102B & ONLINE
ART-410,Topics in Advanced Drawing,P,"4.0 units, max 12",Lecture,33854D,1,12:00-2:40pm,"Mon, Wed",15,11,0,Edgar Arceneaux,HAR202 & ONLINE
ART-420,Topics in Advanced Painting,P,"4.0 units, max 12",Lecture,33884D,1,6:00-8:40pm,"Mon, Wed",15,14,0,Keith Mayerson,HAR202 & ONLINE
ART-430,Topics in Advanced Ceramics,P,"4.0 units, max 12",Lecture,33367D,1,12:00-2:40pm,"Tue, Thu",16,0,0,Thomas Mueller,ONLINE
ART-440,Topics in Advanced Sculpture,P,"4.0 units, max 12",Lecture,33895D,1,12:00-2:40pm,"Mon, Wed",16,3,0,Jud Fine,WAH108 & ONLINE
ART-470,Topics in Advanced Printmaking,P,"4.0 units, max 12",Lecture,33887D,1,6:00-8:40pm,"Tue, Thu",9,4,0,Xavier Fumat,HAR117 & ONLINE
ART-485,Studio Capstone,MC,4.0 units,Lecture,33503D,1,3:00-5:40pm,"Mon, Wed",16,11,0,Jennifer West,IFT109 & ONLINE
ART-494a,Senior Thesis,MC,"2.0 units, max 4",Lecture,33358D,1,TBA,TBA,16,1,0,Keith Mayerson,OFFICE & ONLINE
ART-594a,Master's Thesis,C,2.0 units,Lecture,33357D,1,TBA,TBA,16,6,0,Nao Bustamante,OFFICE & ONLINE
ART-594z,Master's Thesis,PC,0.0 units,Lecture,33383D,1,TBA,TBA,15,0,0,Nao Bustamante,OFFICE & ONLINE
