First Name,Last Name,Department,Rating Class,Overall Rating
Donald,Arnold,Biological Sciences,good,4.3
Susan,Arnold,Cinema,good,5.0
Jonathan,Aronson,Political Science,average,3.0
Richard,Arratia,Mathematics,average,2.5
Victoria,Arriola,Communication,poor,1.6
Diana,Arterian,English,average,3.0
Emily,Artiano,Writing,good,4.9
Ron,Artstein,Computer Science,average,2.5
Inna,Arzumanova,Communication,good,5.0
Naomi,Asakura,East Asian Languages,good,5.0
Norah Emily,Ashe,Writing,good,3.7
David,Ashley,Engineering,good,3.5
Nooshan,Ashtari,Linguistics,good,5.0
Aravind,Asok,Mathematics,poor,2.4
Sami,Assaf,Mathematics,good,3.8
Ron,Astor,Social Work,average,3.0
Kendra,Atkin,Thematic Option,good,4.8
Christopher,Atkins,Social Work,good,4.7
Carol,Atkinson,International Relations,good,3.6
Hazel,Atuel,Social Work,average,2.5
Marc,Aubertin,Business,good,3.5
Arthur,Auerbach,Political Science,good,4.0
Greg,Autry,Business,good,4.2
Salman,Avestimeh,Engineering,good,4.5
Ed,Avol,Health Science,good,4.5
Akram,Awad,Political Science,good,5.0
Nora,Ayanian,Computer Science,good,5.0
John,Ayoob,Business,good,3.6
Tigran,Ayrapetyan,Architecture,good,5.0
Stanley,Azen,Not Specified,good,4.8
Allen,Azizian,Psychology,good,4.0
Michelle,Babcock,Languages,good,4.8
David ,Bacci ,Business,good,4.2
Monica,Bachner,Law,poor,1.0
Paul,Backer,Theater,good,3.8
Andrew,Bacon,Philosophy,average,2.7
Diane,Badame,Marketing,average,3.0
Paul,Bader,Accounting,average,2.7
Nancy,Bagatell,Health Science,good,4.5
Erin,Baggott,International Relations,good,4.0
Aleks,Baharlo,Policy Planning & Development,good,5.0
Lina,Bahn,Music,good,5.0
Grace,Bahng,Policy Planning & Development,good,5.0
Bob,Bailey,Theatre,good,4.9
Neha,Bairoliya,Economics,average,3.0
Anirban,Baishya,Cinema,good,4.7
Ruchi,Bajpai,Dentistry,poor,1.0
"Robert ""Bob""",Baker,Biology,good,4.1
Cathie,Baker,Physical Education,average,3.0
Laura A.,Baker,Psychology,good,3.5
Gerald,Bakus,Biology,average,2.5
Aaron,Balana,Chemistry,good,5.0
Adriana,Balic,Music,good,5.0
David,Balkan,Cinema,good,5.0
Sandra,Ball-Rokeach,Communication,average,2.9
Robert,Ballo,Film,good,3.5
Marc,Ballon,Writing,good,5.0
Farnoush,Banaei-Kashani,Computer Science,good,4.8
Christa,Bancroft,Biological Sciences,good,4.4
Tridib,Banerjee,Policy Planning & Development,average,3.1
Trambak,Banerjee,Business,average,3.0
Trambak,Banerjee,Applied Business Statistics,good,5.0
Sarah,Banet-Weiser,Communication,good,4.5
Jennifer ,Bankard ,Writing,good,5.0
Gabrielle,Banks,Journalism,average,3.0
Lois,Banner,History,average,3.3
Juhi,Bansal,Music,good,4.8
Jernej,Barbic,Computer Science,good,4.5
sylvain,barbot,Geology,good,3.5
Alice,Bardan,Writing,good,4.5
Audra,Bardsley,Environmental Studies,good,4.0
Kathy,Bargar,Social Work,good,5.0
Anna,Barikyan,Spanish,good,5.0
Chris,Barnard,Fine Arts,good,4.9
Stan,Barnard,Social Work,good,4.9
Jeb,Barnes,Political Science,good,4.1
Daniela,Baroffio-Bota,Communication,good,3.8
Deborah,Baron,Cinema,good,3.9
Miranda,Barone,Psychology,good,3.9
Richard ,Barrett ,Political Science,good,3.8
Timothy,Barry,Social Work,good,5.0
Itzhak,Bars,Physics,average,2.9
Steve,Barth,Business,good,4.3
Nicolas,Bartlett,Anthropology,good,4.7
Genevieve,Bartlett,Information Science,good,3.7
Art,Bartner,Music,average,3.1
Jay,Bartroff,Mathematics,good,4.3
Vittorio,Bassi,Economics,good,5.0
Yehuda,Bassok,Business,poor,1.0
Maurice,Bastian,Cinema,good,4.0
Janet,Batchler,Cinema,good,4.3
Sandra,Batista,Computer Science,average,3.2
Tanya,Batura,Fine Arts,good,5.0
Brian,Baucom,Psychology,good,4.9
Michel,Baudry,Biological Sciences,poor,2.3
Alice,Baumgartner,History,good,4.0
Reza,Bavafa,Economics,average,3.3
Peter,Baxendale,Mathematics,good,3.7
Murat,Bayiz,Business,good,4.8
Ergin,Bayrak,Economics,good,3.5
Rachel,Beattie,Psychology,poor,1.0
Randolph,Beatty,Accounting,poor,2.4
Basile,Beaty,Slavic Languages & Literatures,good,4.5
Joseph,Bebel,Computer Science,good,4.2
Antoine,Bechara,Psychology,good,4.2
Nicholas,Beck,English,good,5.0
Douglas,Becker,International Studies,good,3.7
Marjorie,Becker,History,average,3.4
Thorsten,Becker,Earth Science,average,3.1
Kathleen,Becker,Nursing,average,3.3
Carsten,Becker,Graphic Arts,good,5.0
Megan,Becker,International Relations,poor,2.3
Brianna,Beehler,English,good,4.6
Victoria,Behner,Architecture,good,5.0
David,Belasco,Business,good,4.7
Irving,Belateche,Cinema,good,5.0
Britni,Belcher,Health Science,good,5.0
Christina,Belcher,English,good,4.5
Natalie,Belisle,Arts & Letters,good,3.7
De Vida,Bell,Social Work,average,2.8
Elaine,Bell-Kaplan,Sociology,poor,1.1
Andrea,Belz,Business,good,3.5
Yehuda,Ben-Zion,Geology,poor,2.2
Nick,Benavides,Music,average,3.0
Nicolas,Benavides,Music,good,4.0
Mary,Bendall,English,good,4.1
Molly,Bendall,English,good,4.7
Aimee,Bender,Arts & Letters,good,4.7
Alexander,Benderskii,Chemistry,good,4.3
Alex,Bene,Mathematics,good,3.8
Michael,Benitez,English,good,5.0
Beatrice,Bennet,Languages,good,4.0
Victor,Bennett,Business,good,4.5
Ashley,Bennett,Medicine,good,4.5
Daniel,Bennett,Economics,poor,1.5
Sarah,Benor,Arts & Letters,good,4.3
Antonio,Bento,Policy Planning amp Development,good,5.0
Kiki,Benzon,Cinema,average,2.5
Will,Berelson,Geology,average,3.1
William,Berelson,Science,good,4.8
Kathleen,Berens,Writing,good,5.0
Sandra,Berg,Film,average,3.0
Richard,Berg,English,good,3.6
Heather,Berg,Gender Studies,good,5.0
Rick,Berg,American Studies,average,3.4
Alan,Berger,Film,good,5.0
Quentin,Berger,Mathematics,good,3.5
Susanna,Berger,Art History,good,5.0
Paige,Berger,Health Science,average,3.0
Gerd,Bergmann,Physics,poor,2.0
Debra,Berl,Social Work,good,5.0
Jonathan,Berliner,Arts & Letters,good,4.0
Ivan,Bermejo Moreno,Engineering,average,3.0
Brian,Bernards,East Asian Studies,good,4.2
Mark,Bernstein,Political Science,good,4.8
Sanders,Bernstein,Writing,average,3.4
Leslie,Berntsen,Psychology,good,5.0
Thomas,Bertolini,Chemistry,good,4.0
Ahmad,Besaratinia,Health Science,poor,2.3
Mohammed,Beshir,Engineering,good,3.8
Kristen,Besinque,French & Italian,good,4.0
Ayana,Best,Political Science,poor,1.0
Caroline,Betts,Economics,average,3.2
Gorjana,Bezmalinovic,Biological Sciences,good,3.8
Arvind,Bhambri,Business,good,4.5
Sunil,Bharitkar,Engineering,good,4.0
Nivedita,Bhaskhar,Mathematics,average,3.0
Nikhil,Bhatia,Business,good,5.0
Mary-Ann,Bholand-Matveyenko,Not Specified,good,5.0
Rafiqul,Bhuyan,Finance,poor,1.5
David,Bialock,East Asian Lang. & Literature,average,3.1
Tim,Biblarz,Sociology,good,4.1
Justin,Bibler,Writing,good,3.9
Gene,Bickers,Physics,good,4.8
Irving,Biederman,Biology,average,2.7
Jacob,Bien,Applied Business Statistics,average,3.3
Lindsey,Bier,Business,good,4.0
Bill,Biersach,Music,good,4.7
Leila,Bighash,Communication,good,5.0
Karra,Bikson,Social Work,good,4.4
Thomas,Billard,Communication,good,5.0
Mehmet,Birdal,International Relations,poor,2.4
Bettine,Birge,East Asian Lang. & Literature,average,3.0
Phil,Birnbaum,Business,poor,2.3
Philip,Birnbaum More,Business,poor,1.8
Greg,Bishop,Journalism,average,2.9
Lisa,Bitel,History,poor,2.5
David,Black,Health Science,good,4.0
Tamara,Black,Writing,good,4.3
Bernadene,Blaha,Music,average,2.8
Diane,Blaine,Gender Studies,good,3.5
Diana,Blaine,Writing,good,4.3
Anne,Blair,Social Work,average,3.1
Sherry,Blair,Social Work,average,3.1
Brent,Blair,Theater,good,4.1
John,Blakinger,Art History,good,5.0
Eric,Blanchard,International Studies,good,4.0
Daniela,Bleichmar,Art History,good,3.9
Jackson,Bliss,Writing,good,4.7
Bruce,Block,Film,good,3.8
Michael,Block,Arts  Letters,good,4.8
Dick,Block,Cinema,good,5.0
Cindy,Blois,Mathematics,good,4.0
Paul,Blomeyer,Writing,good,3.6
Amanda,Bloom,Writing,good,4.2
Judith F,Blumenthal,Business,poor,1.0
Ricky,Bluthenthal,Health Science,good,4.7
James,Boedicker,Physics & Astronomy,average,2.6
Christopher,Boehm,Anthropology,good,3.7
Barry,Boehm,Computer Science,good,3.5
stephanie,bogart,Biological Sciences,good,3.7
Don,Bohlinger,Film,good,5.0
John,Bola,Social Work,good,4.8
Babak,Boloury,Engineering,average,3.3
Francis,Bonahon,Mathematics,good,4.4
Tiffany,Bong,Dance,good,5.0
Sarah,Bonner,Accounting,good,4.6
Claire,Bono,Computer Science,poor,2.5
Joseph,Boone,English,good,3.8
Mary Lynne,Boorn,Policy Planning amp Development,good,4.3
Dexter,Booth,Writing,good,5.0
Gail,Borden,Architecture,good,5.0
Hagit,Borer,Linguistics,average,3.4
Evelyn,Boria-Rivera,Writing,average,3.0
Julia,Borovay,Health Science,average,3.3
Anthony,Borquez,Engineering,good,4.7
Britta,Bothe,Slavic Languages amp Literatures,good,3.7
David,Bottjer,Geology,average,2.5
Sarah,Bottjer,Neuroscience,average,2.7
Geza,Bottlik,Engineering,poor,2.3
Nathaniel,Bottman,Mathematics,good,4.6
James,Bottom,Business,good,5.0
Sean,Bouchard,Cinema,good,5.0
Christelle,Bovet,Classics,good,4.1
Stephanie,Bower,Writing,good,4.3
Delbert,Bowers,Music,good,4.4
Amy,Bowers,Music,good,5.0
John,Bowlt,Languages,good,4.8
Gregory,Bowman,Education,poor,1.0
Todd,Boyd,Film,good,4.0
Amanda,Boyd,Writing,good,3.5
Ryan ,Boyd,Writing,good,4.8
Lyn,Boyd-Judson,International Studies,good,4.8
James,Boyda,Cinema,good,4.5
Tom,Boyle,English,good,4.3
Anthony,Boyle,Classics,average,3.1
Meghan,Boyle,Writing,good,4.7
Ran,Boytner,Anthropology,good,4.5
Mike,Bozarth,Business,good,4.8
Hans,Bozler,Physics & Astronomy,average,2.9
Iva,Bozovic,International Studies,good,4.0
Iva,Bozovic,International Relations,good,4.3
Melanie,Brady,Education,poor,1.0
Nathalie,Bragadir,Spanish,good,4.9
Laurie,Brand,International Relations,average,3.3
Gregg,Brandow,Engineering,good,5.0
Paulo,Branicio,Engineering,good,4.9
Alla,Branzburg,Social Work,good,4.0
Leo,Braudy,English,good,3.6
Elizabeth,Brauer,Film,good,5.0
Ted,Braun,Film,good,4.0
Peter,Braun,Social Work,good,4.5
George,Braunegg,Accounting,good,3.5
Sarah,Bream,Occupational Therapy,good,4.0
James,Brecher,Writing,good,4.4
Justin,Brechtel,Architecture,good,4.0
Jan,Breidenbach,Policy Planning & Development,good,5.0
Kenneth,Breisch,Art History,good,5.0
William,Breland,Psychology,average,3.0
Jessica,Bremmer,Writing,good,5.0
Mike,Brennan,Law,good,4.5
Amy,Bresnahan,Business,good,4.0
Christopher,Bresnahan,Business,good,4.0
Melvin,Breuer,Engineering,average,2.5
Maura,Brewer,Fine Arts,good,4.8
Marcos,Briano,Physical Education,good,4.5
Robert,Bridges,Business,good,3.8
Eric,Briggs,Finance,good,4.5
Sheila,Briggs,Arts & Letters,average,2.9
David,Brind,Cinema,good,4.8
David,Bringhurst,Social Work,good,4.3
Duke,Bristow,Finance,good,4.0
Duke,Bristow,Business,good,5.0
Sarah,Briuer-Boland,Writing,good,4.2
Isabelle,Brocas,Economics,average,3.3
Evan,Brody,Communication,good,3.8
Steven,Brookman,Cinema,good,5.0
Devon,Brooks,Social Work,average,3.0
Michael,Broukhim,Business,good,5.0
Winsor,Brown,Computer Science,poor,1.6
Nerissa,Brown,Accounting,good,4.2
Antonio,Brown,Political Science,good,4.5
Rebecca,Brown,Law,good,5.0
Danielle,Brown,Social Work,good,4.1
Bruce,Brown,Music,good,3.7
Robert,Brown,Cinema,good,4.7
Donna,Brown,Social Work,poor,2.0
Alfred,Brown Iv,Writing,good,4.4
Rebecca,Broyer,Chemistry,average,3.1
Leslie,Bruce,English,good,5.0
Ronald,Bruck,Mathematics,poor,1.9
Renee,Bruckner,Cinema,poor,2.2
Susan,Brumer,Social Work,good,4.1
Todd,Brun,Engineering,good,4.5
Courtney,Brunious,Business,poor,1.8
Richard,Brutchey,Chemistry,good,5.0
Jasmine,Bryant,Chemistry,good,4.7
Steve,Bucher,Communication,good,4.0
John,Bucholtz,Social Work,good,4.9
Tom,Buderwitz,Theatre,poor,2.0
Eva,Buechel,Marketing,average,3.2
Robert,Buerkle,Cinema,good,4.4
Matthew,Bui,Communication,good,5.0
Michael,Bunn,Writing,good,4.2
Chander,Burgos,Information Science,good,4.8
Miriam,Burgos,Marketing,good,4.8
Douglas,Burke,Science,poor,2.4
Rita,Burke,Health Science,good,3.6
Jim,Burklo,Social Work,good,4.5
Nathalie,Burle,Languages,good,4.8
Jon,Burlingame,Music,good,4.8
Timothy,Burton,Physical Education,good,3.7
Natasha,Burton,Writing,good,4.5
Samantha,Burton,Art History,good,4.2
Steve,Bush,Social Work,good,3.8
Stephanie,Buttacavoli,Social Work,good,5.0
Stephen,Byars,Business,good,4.1
Ben,Bycroft,Engineering,good,5.0
Mary,Byram-Washburn,Linguistics,good,3.8
Dana,Caballero,Social Work,good,4.8
Vianey,Cabrera,Spanish & Portuguese,good,4.8
Madelyn,Cain-Inglese,Writing,good,4.5
Giuseppe,Caire,Engineering,poor,1.6
Peter,Calabrese,Biological Sciences,good,5.0
John,Callaghan,Kinesiology,good,4.7
Vicki,Callahan,Film,good,3.5
Christopher,Callahan,Religion,good,4.5
Tyrone,Callahan,Business,good,5.0
Fanny,Camara,Economics,average,2.7
Odilon,Camara,Economics,good,4.6
Robert,Campany,Religion,good,4.2
Charles,Campbell,Engineering,poor,1.9
Rene,Campbell,Social Work,good,5.0
Rook,Campbell,Communication,average,3.3
Andrew,Campbell,Art History,good,4.4
Andy,Campbell,Fine Arts,good,4.3
Ashleigh,Campi,Women's Studies,average,2.5
Kevin,Cannariato,Environmental Science,average,2.5
Amy,Cannon,Thematic Option,good,4.8
Eric,Canny,Education,good,4.5
Jessica,Cantiello,Writing,good,4.7
Kevin,Caporicci,Business,good,3.6
Maegan,Carberry,Journalism,average,3.0
Paula,Carbone,Education,good,4.1
Laura,Cardinal,Social Work,good,5.0
Pete,Cardon,Business,good,4.5
Anders,Carlson,Architecture,good,4.1
John,Carlsson,Engineering,good,5.0
Peter,Carnevale,Business,good,5.0
Sharon,Carnicke,Theater,average,3.4
Dave,Caron,Biological Sciences,good,4.2
John,Carpenter,Cinema,good,5.0
Daniel,Carper,Architecture,good,5.0
Samantha,Carrick,Writing,good,4.8
.,Carrillo,Economics,average,2.5
Juan,Carrillo,Education,good,3.9
Pete,Carrol,Physical Ed,good,4.2
LauraAnne,Carroll-Adler,Writing,good,4.0
Kari,Carson,Music,good,3.5
George,Carstocea,Cinema,good,4.9
David,Carter,Business,good,4.3
Phillip,Carter,Linguistics,good,3.7
Stephanie,Carter,Social Work,average,3.2
Daniel,Carvalho,Business,good,4.0
Lynne,Casper,Sociology,good,4.1
Drew,Casper,Cinema,poor,2.0
Drew,Casper,Film,average,3.4
Mike,Cassar,Engineering,good,5.0
La Mikia,Castillo,Policy Planning  Development,good,4.5
Carolina,Castillo Larrea,Spanish & Portuguese,good,5.0
Michael,Castle,Engineering,good,4.6
Nancy,Castro,Biological Sciences,good,3.7
Nikki,Cavalier,Social Work,good,4.2
Harrison,Cavallero,Engineering,good,5.0
Lisa,Cavanaugh,Business,good,4.1
Ken,Cazan,Music,poor,2.0
Julie,Cederbaum,Social Work,good,4.8
Alejandro,Celeita,Spanish,good,5.0
Lee,Cerling,Business,average,3.3
Vincent,Cervantes,Spanish & Portuguese,good,3.8
Thea,Cervone,English,good,4.8
Gizem,Ceylan,Marketing,good,4.0
Serena,Cha,Journalism,good,5.0
Julian,Cha,Theatre,good,3.8
Hamid,Chabok,Engineering,good,5.0
Jaideep,Chadha,Nursing,poor,1.0
Stacie,Chaiken,Theater,average,3.2
Subhashish,Chakravarty,Business,average,2.7
Julia,Chamberlin,Languages,good,4.5
Patricia,Chan,Social Work,good,4.8
Wilson,Chan,Engineering,good,5.0
Lik Sam,Chan,Communication,good,5.0
Edwin,Chan,Computer Science,good,5.0
Paulette,Chandler,French & Italian,average,3.0
Tom,Chang,Business,good,3.7
Wen Kuang,Chang,East Asian Lang. & Literature,good,4.3
Alicia,Chang,Journalism,poor,1.5
John,Chang,East Asian Languages,good,5.0
Brent,Chappelow,Writing,good,4.5
Zaven,Charkchyan,Linguistics,good,5.0
Andrew,Chater,English,good,5.0
Dayna,Chatman,Communication,average,3.4
Monalisa,Chatterjee,Environmental Studies,average,2.8
Kristin,Chaudhary,Music,good,4.5
Alicia,Chavez,American Studies,good,3.5
Henry,Cheeseman,Business,good,4.2
Yun-Ju,Chen,East Asian Lang. & Literature,poor,2.4
Feng,Chen,Business,average,3.3
Qingtao,Chen,Mathematics,poor,1.4
Yong,Chen,Engineering,good,4.9
Mike,Chen,Engineering,good,4.3
Liang,Chen,Biological Sciences,poor,2.4
Lin,Chen,Biological Sciences,good,4.0
Hao,Chen,International Relations,good,4.5
Xiaojiang,Chen,Biological Sciences,poor,2.0
Annie,Chen,Business,good,4.1
Li-Ping,Chen,Writing,average,2.7
Harrison,Cheng,Economics,poor,1.2
Diana,Cheng,Social Work,average,2.8
Meiling,Cheng,Theatre,good,4.4
Bill,Cheng,Computer Science,good,3.7
Robert,Chernoff,Psychology,average,2.8
Dominic,Cheung,East Asian Lang. & Literature,average,3.5
Bonnie,Chi,Cinema,good,5.0
Yao-Yi,Chiang,Computer Science,average,3.0
Steve,Child,Design,good,4.2
Frank,Chindamo,Cinema,good,5.0
Dana,Chinn,Journalism,poor,1.5
Jenny,Chio,East Asian Languages & Cultures,average,3.0
Irene,Chiolo,Biological Sciences,good,3.5
Jeffrey,Chisum,Writing,good,4.0
Arthur,Chivichyan,Physical Education,good,5.0
Young ,Cho,Computer Science,good,3.9
Marianna,Chodorowska-Pilch,Spanish & Portuguese,good,4.2
Youngmin,Choe,East Asian Studies,good,4.2
Helen,Choi,Law,good,4.1
John,Choma,Engineering,good,4.8
Dennis,Chong,Political Science,poor,2.0
Celeste,Chong-Cerillo,Biological Sciences,poor,2.0
Regina,Chopp,Psychology,good,4.8
Farzana,Choudhury,Health Science,good,3.8
Jinhee,Choung,Political Science,average,3.3
Sandra,Chrystal,Business,good,3.8
Alvin,Chuan,French amp Italian,good,4.0
Keith,Chugg,Engineering,average,2.9
Elizabeth,Chuk,Accounting,good,4.1
Ruth,Chung,Education,average,3.2
Helen,Chung,East Asian Languages,good,5.0
Terry,Church,Pharmacy,good,4.1
Caroline,Cicero,Gerontology,good,5.0
Pierson,Clair,Engineering,good,4.5
Ginger,Clark,Education,average,3.2
Leslie,Clark,Health Science,average,3.0
Frederic,Clark,Classics,good,4.8
David,Clawson,Cinema,good,4.4
James,Clements,Writing,good,4.3
Caroline,Clerc,Interdisciplinary Studies,good,4.4
Ryon,Cobb,Sociology,average,2.7
Michael,Cody,Communication,good,5.0
Andrew,Coe,International Relations,good,4.8
Eric,Coe,Information Science,average,2.5
Samantha,Cohen,Writing,good,3.5
Jaclyn,Cohen-Steinberg,Spanish,good,4.4
Gary,Cohn,Journalism,good,4.0
Noble,Coker,Business,good,4.8
K.C.,Cole,Journalism,good,5.0
Carol,Cole,Social Work,good,4.8
Tiffany,Cole,Theatre,average,3.0
Rhoda,Coleman,Education,average,3.1
James,Collins,Classics,average,3.0
Carl,Collins,Physical Education,good,4.1
Lisa,Collins,Environmental Science,good,4.4
Elsbeth,Collins,Theatre,good,4.3
Maria,Colman,Business,poor,2.3
Michael,Colson,Writing,good,5.0
Sandra,Colton Medici,Dance,good,4.0
Cavan,Concannon,Religion,good,3.8
Jim,Condon,Writing,good,4.8
James,Condon,English,good,4.9
Caitlyn,Conlin,Theatre,average,3.0
David,Conti,Science,good,3.9
Gina,Conti,English,average,3.0
Juan-Pablo,Contreras,Music,good,5.0
Jennifer,Cool,Anthropology,good,3.8
Bryan,Cooley,Engineering,good,4.0
Michael,Coombs,Business,poor,1.5
Michael,Coombs,Management,average,2.8
Eugene,Cooper,Anthropology,poor,2.3
Terry,Cooper,Policy Planning & Development,poor,2.4
Lisa,Cooper-Vest,Music,good,5.0
Mark,Core,Computer Science,poor,1.3
Giorgio,Coricelli,Economics,poor,2.3
Frank,Corsetti,Geology,good,4.4
Victoria,Cortessis,Health Science,good,5.0
Nasser,Cortez,Education,good,5.0
Midge,Costin,Film,good,5.0
Aaron,Cote,Computer Science,good,4.2
Panayiota,Courelli,Medicine,good,4.1
Shannon,Couture O'Flinn,Psychology,good,5.0
Casey,Cowan,Theater,average,3.4
Geoffrey,Cowan,Communication,good,4.0
Geoffrey,Cowan,Journalism,good,4.5
Tory,Cox,Social Work,good,5.0
Carol,Crabson,Social Work,good,4.7
David,Craig,Communication,average,3.3
Terry,Cravens,Music,good,5.0
Deborah,Creech,Communication,good,4.5
Tommaso,Cremaschi,Mathematics,poor,1.6
Gabriel,Crenshaw,Social Work,good,3.5
Ann,Crigler,Political Science,average,3.0
Caterina,Crisci,French & Italian,good,5.0
Petrina,Crockford,Writing,average,3.0
David,Crombecque,Mathematics,good,4.0
Stephen,Cronin,Engineering,average,2.6
Bill,Crookston,Business,good,5.0
Howard,Croom,Physical Education,good,5.0
Mai'A,Cross,International Relations,good,5.0
Tamala,Crouch,Social Work,good,5.0
Michael,Crowley,Computer Science,good,4.1
Maura,Crowley,Languages,good,4.5
Kate,Crowley,Occupational Therapy,good,4.5
Gage,Crump,Medicine,good,4.0
Tess,Cruz,Health Science,average,3.0
Arroyo,Cruz,English,poor,1.0
Ian,Culbertson,Physical Education,good,4.2
Nicholas J.,Cull,Communication,good,4.0
Rick,Culley,Policy Planning  Development,good,5.0
Thomas,Cummings,Business,good,4.0
Marcia,Cunha,Social Work,good,5.0
Steve,Cunningham,Music,average,3.4
James,Cunningham,Finance,average,2.9
Elizabeth,Currid-Halkett,Social Science,average,3.3
Andrew,Curtis,Geography,good,4.1
Clara,D'Agostino,Social Work,poor,1.3
Alison,D'Amato,Dance,good,4.0
David,D'Argenio,Engineering,good,4.9
Christopher,Daily,East Asian Studies,good,4.8
Trinie,Dalton,English,good,5.0
Phillip,Dalton,Policy Planning amp Development,good,3.5
Heather,Daly,Arts  Letters,average,2.5
Brad,Damare,Literature,good,4.1
Natalia,Dame,Slavic Languages & Literatures,good,5.0
Zlatan,Damnjanovic,Philosophy,average,2.7
Dave,Damus,Communication,good,3.7
